"",BBK01.OEAH32G,BBK01.OEAH32G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:17,
2002-01,10.314,
2002-04,10.359,
2002-07,10.876,
2002-10,11.149,
2003-01,11.217,
2003-04,10.416,
2003-07,9.482,
2003-10,10.234,
2004-01,10.216,
2004-04,9.175,
2004-07,8.965,
2004-10,11.228,
2005-01,9.368,
2005-04,9.842,
2005-07,10.495,
2005-10,11.698,
2006-01,11.382,
2006-04,10.920,
2006-07,13.168,
2006-10,14.610,
2007-01,14.218,
2007-04,15.478,
2007-07,16.717,
2007-10,20.238,
2008-01,21.156,
2008-04,23.074,
2008-07,34.397,
2008-10,32.338,
2009-01,32.222,
2009-04,28.778,
2009-07,26.892,
2009-10,31.335,
2010-01,24.184,
2010-04,24.638,
2010-07,27.081,
2010-10,25.459,
2011-01,31.986,
2011-04,28.550,
2011-07,29.235,
2011-10,26.061,
2012-01,25.259,
2012-04,26.859,
2012-07,23.771,
2012-10,21.208,
2013-01,18.864,
2013-04,15.922,
2013-07,10.794,
2013-10,11.108,
2014-01,11.373,
2014-04,12.304,
2014-07,10.852,
