"",BBK01.OEHJ02J,BBK01.OEHJ02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:20,
2002-01,0.472,
2002-04,0.481,
2002-07,0.480,
2002-10,0.576,
2003-01,0.541,
2003-04,0.542,
2003-07,0.545,
2003-10,0.581,
2004-01,0.531,
2004-04,0.605,
2004-07,0.603,
2004-10,0.713,
2005-01,0.659,
2005-04,0.657,
2005-07,0.687,
2005-10,0.790,
2006-01,0.647,
2006-04,0.711,
2006-07,0.746,
2006-10,0.936,
2007-01,0.863,
2007-04,0.802,
2007-07,0.819,
2007-10,1.132,
2008-01,0.785,
2008-04,0.858,
2008-07,0.826,
2008-10,0.949,
2009-01,0.996,
2009-04,0.990,
2009-07,1.188,
2009-10,1.432,
2010-01,1.336,
2010-04,1.164,
2010-07,0.963,
2010-10,1.054,
2011-01,0.996,
2011-04,0.991,
2011-07,1.047,
2011-10,1.196,
2012-01,1.166,
2012-04,1.223,
2012-07,1.221,
2012-10,1.357,
2013-01,1.401,
2013-04,1.444,
2013-07,1.499,
2013-10,1.686,
2014-01,1.706,
2014-04,1.582,
2014-07,1.574,
