"",BBK01.OEHI06R,BBK01.OEHI06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:59,
2002-01,0.880,
2002-04,0.923,
2002-07,0.931,
2002-10,0.958,
2003-01,0.932,
2003-04,0.925,
2003-07,0.898,
2003-10,0.894,
2004-01,0.875,
2004-04,0.867,
2004-07,0.865,
2004-10,0.868,
2005-01,0.879,
2005-04,0.873,
2005-07,0.861,
2005-10,0.873,
2006-01,0.885,
2006-04,0.897,
2006-07,0.906,
2006-10,0.965,
2007-01,0.987,
2007-04,1.013,
2007-07,1.043,
2007-10,1.056,
2008-01,1.034,
2008-04,1.023,
2008-07,1.023,
2008-10,1.040,
2009-01,0.989,
2009-04,0.893,
2009-07,0.811,
2009-10,0.780,
2010-01,0.767,
2010-04,0.756,
2010-07,0.759,
2010-10,0.726,
2011-01,0.717,
2011-04,0.727,
2011-07,0.731,
2011-10,0.719,
2012-01,0.704,
2012-04,0.683,
2012-07,0.643,
2012-10,0.606,
2013-01,0.579,
2013-04,0.590,
2013-07,0.582,
2013-10,0.572,
2014-01,0.559,
2014-04,0.557,
2014-07,0.540,
