"",BBK01.OELB01Q,BBK01.OELB01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:54,
2002-01,7.871,
2002-04,7.964,
2002-07,8.017,
2002-10,8.006,
2003-01,7.957,
2003-04,8.008,
2003-07,7.975,
2003-10,7.919,
2004-01,7.886,
2004-04,7.971,
2004-07,8.037,
2004-10,8.033,
2005-01,8.071,
2005-04,8.134,
2005-07,8.411,
2005-10,8.487,
2006-01,8.645,
2006-04,9.198,
2006-07,9.201,
2006-10,9.155,
2007-01,9.142,
2007-04,9.239,
2007-07,9.524,
2007-10,9.433,
2008-01,9.560,
2008-04,9.716,
2008-07,9.752,
2008-10,9.965,
2009-01,10.044,
2009-04,10.250,
2009-07,10.514,
2009-10,10.693,
2010-01,10.903,
2010-04,11.160,
2010-07,11.325,
2010-10,11.492,
2011-01,11.640,
2011-04,11.894,
2011-07,12.084,
2011-10,12.233,
2012-01,12.415,
2012-04,13.231,
2012-07,13.359,
2012-10,13.516,
2013-01,13.759,
2013-04,13.994,
2013-07,14.161,
2013-10,14.366,
2014-01,14.464,
2014-04,14.599,
2014-07,14.854,
