"",BBK01.OUK362,BBK01.OUK362_FLAGS
"",Loans to foreign non-banks / Total / Regional institutions of credit cooperatives,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:59:12,
1999-01,4.105,
1999-02,4.438,
1999-03,4.187,
1999-04,4.570,
1999-05,5.112,
1999-06,5.475,
1999-07,5.183,
1999-08,5.541,
1999-09,5.447,
1999-10,5.815,
1999-11,5.980,
1999-12,6.086,
2000-01,6.171,
2000-02,6.106,
2000-03,6.278,
2000-04,6.529,
2000-05,6.823,
2000-06,6.142,
2000-07,6.301,
2000-08,6.678,
2000-09,7.361,
2000-10,7.851,
2000-11,8.366,
2000-12,8.246,
2001-01,7.816,
2001-02,8.215,
2001-03,8.541,
2001-04,8.716,
2001-05,9.360,
2001-06,9.668,
2001-07,9.004,
2001-08,9.355,
2001-09,10.383,
2001-10,9.915,
2001-11,9.267,
2001-12,9.100,
2002-01,9.000,
2002-02,8.887,
2002-03,6.393,
2002-04,6.790,
2002-05,6.391,
2002-06,6.188,
2002-07,6.097,
2002-08,6.087,
2002-09,5.764,
2002-10,5.841,
2002-11,5.810,
2002-12,5.589,
2003-01,5.286,
2003-02,5.561,
2003-03,5.581,
2003-04,5.239,
2003-05,5.255,
2003-06,5.429,
2003-07,5.421,
2003-08,5.140,
2003-09,5.111,
2003-10,5.375,
2003-11,4.970,
2003-12,4.800,
2004-01,4.799,
2004-02,4.876,
2004-03,4.810,
2004-04,5.068,
2004-05,5.122,
2004-06,6.499,
2004-07,6.727,
2004-08,6.855,
2004-09,6.953,
2004-10,7.331,
2004-11,8.227,
2004-12,5.929,
2005-01,6.942,
2005-02,6.689,
2005-03,7.881,
2005-04,9.049,
2005-05,9.608,
2005-06,10.537,
2005-07,9.835,
2005-08,8.562,
2005-09,8.888,
2005-10,8.915,
2005-11,9.346,
2005-12,8.940,
2006-01,10.599,
2006-02,10.569,
2006-03,10.449,
2006-04,10.718,
2006-05,11.794,
2006-06,12.159,
2006-07,10.860,
2006-08,11.260,
2006-09,8.622,
2006-10,9.493,
2006-11,10.569,
2006-12,6.156,
2007-01,5.657,
2007-02,5.541,
2007-03,5.491,
2007-04,5.986,
2007-05,6.263,
2007-06,6.588,
2007-07,6.917,
2007-08,9.000,
2007-09,10.465,
2007-10,12.363,
2007-11,12.132,
2007-12,13.392,
2008-01,14.386,
2008-02,14.703,
2008-03,14.955,
2008-04,14.696,
2008-05,15.973,
2008-06,15.508,
2008-07,15.588,
2008-08,15.925,
2008-09,15.698,
2008-10,16.327,
2008-11,14.006,
2008-12,13.597,
2009-01,12.861,
2009-02,12.756,
2009-03,11.610,
2009-04,12.085,
2009-05,11.639,
2009-06,15.086,
2009-07,11.065,
2009-08,10.074,
2009-09,10.503,
2009-10,10.926,
2009-11,11.218,
2009-12,10.568,
2010-01,10.032,
2010-02,10.062,
2010-03,9.778,
2010-04,9.167,
2010-05,9.253,
2010-06,9.084,
2010-07,8.428,
2010-08,8.987,
2010-09,8.541,
2010-10,8.208,
2010-11,8.929,
2010-12,8.168,
2011-01,8.436,
2011-02,8.362,
2011-03,8.190,
2011-04,7.709,
2011-05,8.514,
2011-06,8.442,
2011-07,8.496,
2011-08,8.215,
2011-09,7.678,
2011-10,8.012,
2011-11,8.155,
2011-12,8.090,
2012-01,7.157,
2012-02,7.060,
2012-03,7.085,
2012-04,7.116,
2012-05,7.248,
2012-06,7.567,
2012-07,8.040,
2012-08,8.064,
2012-09,8.086,
2012-10,8.922,
2012-11,8.704,
2012-12,8.525,
2013-01,7.853,
2013-02,8.427,
2013-03,9.257,
2013-04,8.719,
2013-05,8.335,
2013-06,8.723,
2013-07,8.426,
2013-08,8.535,
2013-09,9.682,
2013-10,9.532,
2013-11,9.342,
2013-12,9.110,
2014-01,10.598,
2014-02,10.617,
2014-03,10.509,
2014-04,9.606,
2014-05,10.082,
2014-06,10.549,
2014-07,10.569,
2014-08,10.460,
2014-09,9.130,
2014-10,8.583,
2014-11,7.385,
2014-12,7.095,Provisional value
