"",BBK01.OEAH32J,BBK01.OEAH32J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:06,
2002-01,1.165,
2002-04,1.210,
2002-07,0.935,
2002-10,0.858,
2003-01,0.869,
2003-04,0.876,
2003-07,0.923,
2003-10,0.906,
2004-01,0.966,
2004-04,0.817,
2004-07,0.905,
2004-10,1.009,
2005-01,1.129,
2005-04,1.140,
2005-07,1.155,
2005-10,1.479,
2006-01,1.414,
2006-04,1.247,
2006-07,1.292,
2006-10,1.117,
2007-01,1.206,
2007-04,1.273,
2007-07,1.690,
2007-10,1.768,
2008-01,1.838,
2008-04,2.064,
2008-07,2.216,
2008-10,2.225,
2009-01,2.136,
2009-04,1.911,
2009-07,1.893,
2009-10,1.835,
2010-01,1.887,
2010-04,1.702,
2010-07,1.647,
2010-10,1.790,
2011-01,1.834,
2011-04,1.730,
2011-07,2.046,
2011-10,1.909,
2012-01,2.089,
2012-04,1.803,
2012-07,1.676,
2012-10,1.555,
2013-01,1.496,
2013-04,1.551,
2013-07,1.410,
2013-10,1.150,
2014-01,1.472,
2014-04,1.473,
2014-07,1.443,
