"",BBK01.OEYB10T,BBK01.OEYB10T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:42,
2002-01,0.049,
2002-04,0.060,
2002-07,0.089,
2002-10,0.080,
2003-01,0.109,
2003-04,0.104,
2003-07,0.114,
2003-10,0.108,
2004-01,0.115,
2004-04,0.126,
2004-07,0.114,
2004-10,0.137,
2005-01,0.132,
2005-04,0.142,
2005-07,0.135,
2005-10,0.130,
2006-01,0.116,
2006-04,0.112,
2006-07,0.093,
2006-10,0.082,
2007-01,0.086,
2007-04,0.084,
2007-07,0.080,
2007-10,0.080,
2008-01,0.076,
2008-04,0.072,
2008-07,0.072,
2008-10,0.113,
2009-01,0.485,
2009-04,0.089,
2009-07,0.094,
2009-10,0.134,
2010-01,0.150,
2010-04,0.168,
2010-07,0.165,
2010-10,0.135,
2011-01,0.140,
2011-04,0.123,
2011-07,0.099,
2011-10,0.142,
2012-01,0.055,
2012-04,0.108,
2012-07,0.139,
2012-10,0.146,
2013-01,0.158,
2013-04,0.336,
2013-07,0.294,
2013-10,0.231,
2014-01,0.183,
2014-04,0.123,
2014-07,0.198,
