"",BBK01.OEAE13V,BBK01.OEAE13V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:37,
2002-01,0.601,
2002-04,0.655,
2002-07,0.678,
2002-10,0.675,
2003-01,0.632,
2003-04,0.601,
2003-07,0.588,
2003-10,0.602,
2004-01,0.551,
2004-04,0.632,
2004-07,0.546,
2004-10,0.457,
2005-01,0.453,
2005-04,0.550,
2005-07,0.459,
2005-10,0.457,
2006-01,0.451,
2006-04,0.434,
2006-07,0.405,
2006-10,0.330,
2007-01,0.310,
2007-04,0.290,
2007-07,0.237,
2007-10,0.311,
2008-01,0.183,
2008-04,0.158,
2008-07,0.177,
2008-10,0.157,
2009-01,0.056,
2009-04,0.069,
2009-07,0.053,
2009-10,0.062,
2010-01,0.064,
2010-04,0.063,
2010-07,0.091,
2010-10,0.098,
2011-01,0.079,
2011-04,0.062,
2011-07,0.048,
2011-10,0.053,
2012-01,0.066,
2012-04,0.062,
2012-07,0.051,
2012-10,0.055,
2013-01,0.058,
2013-04,0.053,
2013-07,0.051,
2013-10,0.066,
2014-01,0.054,
2014-04,0.057,
2014-07,0.057,
