"",BBK01.SUD128S,BBK01.SUD128S_FLAGS
"",Effective interest rates of German banks / New business (estimated) / Loans to non-financial corporations over EUR 1 million with an initial rate fixation of over 1 year and up to 5 years,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2014-01-30 11:40:02,
2000-01,5.7013,Estimated value
2000-02,5.8048,Estimated value
2000-03,5.7193,Estimated value
2000-04,5.6789,Estimated value
2000-05,5.8996,Estimated value
2000-06,5.8317,Estimated value
2000-07,5.9307,Estimated value
2000-08,5.9545,Estimated value
2000-09,5.9487,Estimated value
2000-10,5.9167,Estimated value
2000-11,5.8985,Estimated value
2000-12,5.6138,Estimated value
2001-01,5.4546,Estimated value
2001-02,5.4698,Estimated value
2001-03,5.3580,Estimated value
2001-04,5.4006,Estimated value
2001-05,5.5126,Estimated value
2001-06,5.4625,Estimated value
2001-07,5.4480,Estimated value
2001-08,5.3023,Estimated value
2001-09,5.1595,Estimated value
2001-10,4.9574,Estimated value
2001-11,4.8698,Estimated value
2001-12,5.0957,Estimated value
2002-01,5.1816,Estimated value
2002-02,5.2967,Estimated value
2002-03,5.5587,Estimated value
2002-04,5.5738,Estimated value
2002-05,5.5866,Estimated value
2002-06,5.4454,Estimated value
2002-07,5.2895,Estimated value
2002-08,5.0527,Estimated value
2002-09,4.8492,Estimated value
2002-10,4.8574,Estimated value
2002-11,4.8035,Estimated value
2002-12,4.6494,Estimated value
