"",BBK01.OEAM07Q,BBK01.OEAM07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:52,
2002-01,0.220,
2002-04,0.217,
2002-07,0.207,
2002-10,0.217,
2003-01,0.207,
2003-04,0.173,
2003-07,0.167,
2003-10,0.165,
2004-01,0.167,
2004-04,0.166,
2004-07,0.172,
2004-10,0.165,
2005-01,0.162,
2005-04,0.162,
2005-07,0.187,
2005-10,0.165,
2006-01,0.165,
2006-04,0.184,
2006-07,0.180,
2006-10,0.183,
2007-01,0.186,
2007-04,0.173,
2007-07,0.179,
2007-10,0.182,
2008-01,0.173,
2008-04,0.165,
2008-07,0.160,
2008-10,0.173,
2009-01,0.212,
2009-04,0.221,
2009-07,0.228,
2009-10,0.260,
2010-01,0.227,
2010-04,0.303,
2010-07,0.298,
2010-10,0.291,
2011-01,0.275,
2011-04,0.267,
2011-07,0.261,
2011-10,0.267,
2012-01,0.273,
2012-04,0.278,
2012-07,0.287,
2012-10,0.292,
2013-01,0.291,
2013-04,0.294,
2013-07,0.273,
2013-10,0.283,
2014-01,0.269,
2014-04,0.263,
2014-07,0.268,
