"",BBK01.OEXB22H,BBK01.OEXB22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:08,
2002-01,1.072,
2002-04,1.298,
2002-07,1.059,
2002-10,1.588,
2003-01,1.261,
2003-04,1.512,
2003-07,1.976,
2003-10,2.453,
2004-01,0.087,
2004-04,0.041,
2004-07,0.041,
2004-10,0.063,
2005-01,0.039,
2005-04,0.044,
2005-07,0.034,
2005-10,0.042,
2006-01,0.024,
2006-04,0.022,
2006-07,0.026,
2006-10,0.025,
2007-01,0.010,
2007-04,0.014,
2007-07,0.020,
2007-10,0.038,
2008-01,0.014,
2008-04,0.010,
2008-07,0.306,
2008-10,0.007,
2009-01,0.007,
2009-04,0.002,
2009-07,0.003,
2009-10,0.003,
2010-01,0.021,
2010-04,0.003,
2010-07,0.003,
2010-10,0.008,
2011-01,0.140,
2011-04,0.016,
2011-07,0.042,
2011-10,0.060,
2012-01,0.054,
2012-04,0.063,
2012-07,0.054,
2012-10,0.039,
2013-01,0.060,
2013-04,0.062,
2013-07,0.123,
2013-10,0.145,
2014-01,0.142,
2014-04,0.166,
2014-07,0.214,
