"",BBK01.TUE372,BBK01.TUE372_FLAGS
"",Deposits of enterprises and households / With agreed maturities of over 1 year and up to 2 years / Euro area,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-26 15:19:07,
1997-09,131225,
1997-10,124828,
1997-11,119398,
1997-12,114424,
1998-01,113063,
1998-02,105948,
1998-03,102842,
1998-04,99909,
1998-05,100598,
1998-06,93946,
1998-07,92950,
1998-08,98058,
1998-09,90410,
1998-10,90316,
1998-11,86522,
1998-12,83339,
1999-01,75379,
1999-02,73577,
1999-03,73249,
1999-04,73276,
1999-05,73098,
1999-06,73607,
1999-07,74877,
1999-08,74285,
1999-09,71004,
1999-10,71749,
1999-11,71510,
1999-12,76313,
2000-01,77094,
2000-02,77367,
2000-03,77883,
2000-04,77935,
2000-05,76981,
2000-06,76998,
2000-07,77178,
2000-08,76836,
2000-09,76540,
2000-10,77876,
2000-11,80223,
2000-12,75561,
2001-01,77649,
2001-02,78293,
2001-03,80723,
2001-04,80355,
2001-05,81543,
2001-06,81931,
2001-07,81658,
2001-08,81360,
2001-09,81518,
2001-10,81093,
2001-11,79899,
2001-12,80028,
2002-01,79518,
2002-02,78740,
2002-03,80445,
2002-04,80983,
2002-05,81547,
2002-06,81514,
2002-07,82591,
2002-08,83259,
2002-09,82876,
2002-10,82788,
2002-11,82383,
2002-12,81167,
2003-01,76745,
2003-02,75399,
2003-03,75891,
2003-04,74151,
2003-05,72954,
2003-06,72374,
2003-07,72108,
2003-08,72218,
2003-09,73038,
2003-10,73913,
2003-11,75455,
2003-12,74866,
2004-01,75077,
2004-02,74602,
2004-03,73084,
2004-04,71710,
2004-05,71236,
2004-06,71329,
2004-07,70749,
2004-08,69287,
2004-09,67828,
2004-10,69659,
2004-11,69385,
2004-12,71561,
2005-01,71373,
2005-02,70865,
2005-03,70704,
2005-04,71628,
2005-05,72217,
2005-06,78803,
2005-07,78355,
2005-08,78633,
2005-09,83956,
2005-10,84141,
2005-11,87572,
2005-12,90811,
2006-01,91706,
2006-02,95400,
2006-03,98546,
2006-04,100320,
2006-05,102706,
2006-06,105118,
2006-07,108228,
2006-08,110064,
2006-09,113985,
2006-10,119961,
2006-11,125166,
2006-12,124356,
2007-01,130055,
2007-02,136845,
2007-03,146520,
2007-04,148304,
2007-05,152887,
2007-06,157098,
2007-07,163047,
2007-08,168405,
2007-09,170073,
2007-10,181836,
2007-11,193672,
2007-12,198601,
2008-01,204977,
2008-02,205468,
2008-03,203691,
2008-04,208619,
2008-05,209079,
2008-06,215952,
2008-07,225516,
2008-08,233732,
2008-09,236960,
2008-10,238093,
2008-11,239851,
2008-12,236051,
2009-01,241699,
2009-02,250622,
2009-03,252197,
2009-04,253811,
2009-05,252463,
2009-06,242116,
2009-07,254506,
2009-08,257799,
2009-09,254642,
2009-10,256654,
2009-11,259876,
2009-12,262221,
2010-01,265081,
2010-02,269024,
2010-03,268309,
2010-04,270324,
2010-05,270325,
2010-06,269042,
2010-07,270500,
2010-08,272635,
2010-09,263941,
2010-10,273672,
2010-11,277871,
2010-12,272626,
2011-01,276054,
2011-02,278744,
2011-03,287174,
2011-04,286360,
2011-05,298753,
2011-06,300729,
2011-07,306874,
2011-08,312970,
2011-09,312760,
2011-10,308467,
2011-11,312533,
2011-12,310495,
2012-01,315356,
2012-02,325629,
2012-03,323186,
2012-04,312065,
2012-05,311996,
2012-06,304001,
2012-07,302892,
2012-08,301494,
2012-09,300759,
2012-10,306614,
2012-11,309456,
2012-12,312831,
2013-01,319724,
2013-02,330758,
2013-03,339828,
2013-04,350477,
2013-05,363815,
2013-06,371251,
2013-07,383159,
2013-08,385883,
2013-09,392341,
2013-10,405561,
2013-11,419649,
2013-12,431348,
2014-01,442615,
2014-02,445373,
2014-03,441482,
2014-04,442570,
2014-05,439373,
2014-06,434943,
2014-07,430642,
2014-08,427213,
2014-09,422578,
2014-10,415235,
2014-11,407605,
2014-12,399595,
2015-01,389530,
