"",BBK01.OECM02L,BBK01.OECM02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:30,
2002-01,0.123,
2002-04,0.581,
2002-07,0.215,
2002-10,0.172,
2003-01,0.119,
2003-04,0.245,
2003-07,0.109,
2003-10,0.130,
2004-01,0.147,
2004-04,0.171,
2004-07,0.109,
2004-10,0.129,
2005-01,0.537,
2005-04,0.590,
2005-07,0.306,
2005-10,0.118,
2006-01,0.130,
2006-04,0.205,
2006-07,0.191,
2006-10,0.273,
2007-01,0.508,
2007-04,0.259,
2007-07,0.210,
2007-10,0.308,
2008-01,0.261,
2008-04,0.417,
2008-07,0.374,
2008-10,0.325,
2009-01,0.309,
2009-04,0.459,
2009-07,0.466,
2009-10,0.389,
2010-01,0.385,
2010-04,0.435,
2010-07,0.583,
2010-10,0.817,
2011-01,0.726,
2011-04,0.537,
2011-07,0.807,
2011-10,0.637,
2012-01,0.529,
2012-04,0.570,
2012-07,0.509,
2012-10,0.510,
2013-01,0.613,
2013-04,0.345,
2013-07,0.460,
2013-10,1.249,
2014-01,0.446,
2014-04,0.623,
2014-07,0.647,
