"",BBK01.OEAO01S,BBK01.OEAO01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:25,
2002-01,10.845,
2002-04,10.744,
2002-07,10.533,
2002-10,10.564,
2003-01,10.886,
2003-04,10.954,
2003-07,10.837,
2003-10,10.816,
2004-01,11.036,
2004-04,10.970,
2004-07,10.837,
2004-10,10.737,
2005-01,11.864,
2005-04,11.870,
2005-07,11.777,
2005-10,11.791,
2006-01,11.995,
2006-04,12.103,
2006-07,12.031,
2006-10,11.927,
2007-01,12.086,
2007-04,12.237,
2007-07,12.196,
2007-10,12.216,
2008-01,12.485,
2008-04,12.417,
2008-07,12.374,
2008-10,12.225,
2009-01,12.600,
2009-04,12.618,
2009-07,12.669,
2009-10,12.736,
2010-01,13.069,
2010-04,13.228,
2010-07,13.290,
2010-10,13.363,
2011-01,13.729,
2011-04,13.835,
2011-07,13.758,
2011-10,13.778,
2012-01,13.974,
2012-04,14.064,
2012-07,14.045,
2012-10,14.038,
2013-01,14.215,
2013-04,14.239,
2013-07,14.200,
2013-10,14.235,
2014-01,14.417,
2014-04,14.482,
2014-07,14.464,
