"",BBK01.OEHJ04O,BBK01.OEHJ04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:02:34,
2002-01,0.794,
2002-04,0.827,
2002-07,0.814,
2002-10,0.927,
2003-01,0.805,
2003-04,0.768,
2003-07,0.864,
2003-10,0.947,
2004-01,0.871,
2004-04,0.788,
2004-07,0.875,
2004-10,0.873,
2005-01,0.859,
2005-04,0.856,
2005-07,0.885,
2005-10,0.991,
2006-01,0.958,
2006-04,1.061,
2006-07,1.145,
2006-10,1.159,
2007-01,1.150,
2007-04,1.195,
2007-07,1.294,
2007-10,1.416,
2008-01,1.224,
2008-04,1.265,
2008-07,1.364,
2008-10,1.381,
2009-01,1.062,
2009-04,0.904,
2009-07,0.869,
2009-10,0.895,
2010-01,0.717,
2010-04,0.679,
2010-07,0.724,
2010-10,0.786,
2011-01,0.808,
2011-04,0.896,
2011-07,1.050,
2011-10,0.984,
2012-01,0.910,
2012-04,0.960,
2012-07,0.825,
2012-10,0.766,
2013-01,0.634,
2013-04,0.605,
2013-07,0.565,
2013-10,0.599,
2014-01,0.510,
2014-04,0.575,
2014-07,0.581,
