"",BBSF2.M.1.S.I1250.REN01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1250.REN01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Insurance corporations / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:47,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,16923,
1993-05,17234,
1993-06,17544,
1993-07,18279,
1993-08,20043,
1993-09,20315,
1993-10,20730,
1993-11,20893,
1993-12,21423,
1994-01,21794,
1994-02,21742,
1994-03,21708,
1994-04,21848,
1994-05,21833,
1994-06,21634,
1994-07,21948,
1994-08,21860,
1994-09,21670,
1994-10,21811,
1994-11,22133,
1994-12,21626,
1995-01,21541,
1995-02,21950,
1995-03,22383,
1995-04,22688,
1995-05,23294,
1995-06,23234,
1995-07,23512,
1995-08,23715,
1995-09,23849,
1995-10,24290,
1995-11,24592,
1995-12,24945,
1996-01,25715,
1996-02,25785,
1996-03,26078,
1996-04,26419,
1996-05,26571,
1996-06,26574,
1996-07,26798,
1996-08,27281,
1996-09,27812,
1996-10,28580,
1996-11,29058,
1996-12,29128,
1997-01,30024,
1997-02,30758,
1997-03,30878,
1997-04,31417,
1997-05,31629,
1997-06,33936,
1997-07,34594,
1997-08,34726,
1997-09,34959,
1997-10,34734,
1997-11,35365,
1997-12,36369,
1998-01,36897,
1998-02,37452,
1998-03,38300,
1998-04,38373,
1998-05,39958,
1998-06,40719,
1998-07,41405,
1998-08,42844,
1998-09,43070,
1998-10,43568,
1998-11,44745,
1998-12,45936,
1999-01,48279,
1999-02,47830,
1999-03,48454,
1999-04,49947,
1999-05,50223,
1999-06,50143,
1999-07,49975,
1999-08,50081,
1999-09,50082,
1999-10,50424,
1999-11,51197,
1999-12,51918,
2000-01,51429,
2000-02,53205,
2000-03,54486,
2000-04,57599,
2000-05,57520,
2000-06,57313,
2000-07,58175,
2000-08,59156,
2000-09,59658,
2000-10,60343,
2000-11,59346,
2000-12,60028,
2001-01,62900,
2001-02,62307,
2001-03,62474,
2001-04,62433,
2001-05,62531,
2001-06,62980,
2001-07,64510,
2001-08,64196,
2001-09,64235,
2001-10,66056,
2001-11,65689,
2001-12,66849,
2002-01,67398,
2002-02,68463,
2002-03,68491,
2002-04,68756,
2002-05,67313,
2002-06,67299,
2002-07,65928,
2002-08,68909,
2002-09,69599,
2002-10,69313,
2002-11,69000,
2002-12,68387,
2003-01,69101,
2003-02,69931,
2003-03,68240,
2003-04,68373,
2003-05,68535,
2003-06,68372,
2003-07,67621,
2003-08,67713,
2003-09,67902,
2003-10,68055,
2003-11,68668,
2003-12,68442,
2004-01,66283,
2004-02,65946,
2004-03,65928,
2004-04,64461,
2004-05,61937,
2004-06,62617,
2004-07,63685,
2004-08,62300,
2004-09,62521,
2004-10,63230,
2004-11,64434,
2004-12,64541,
2005-01,66120,
2005-02,66140,
2005-03,65966,
2005-04,66024,
2005-05,67911,
2005-06,69411,
2005-07,70341,
2005-08,70154,
2005-09,69868,
2005-10,61570,
2005-11,62190,
2005-12,62058,
2006-01,61870,
2006-02,61679,
2006-03,61897,
2006-04,61248,
2006-05,61146,
2006-06,60582,
2006-07,60901,
2006-08,62222,
2006-09,63244,
2006-10,64079,
2006-11,64612,
2006-12,63877,
2007-01,63921,
2007-02,64846,
2007-03,65138,
2007-04,69056,
2007-05,68454,
2007-06,69655,
2007-07,70208,
2007-08,71350,
2007-09,71058,
2007-10,72049,
2007-11,65667,
2007-12,73426,
2008-01,73107,
2008-02,73459,
2008-03,73531,
2008-04,75399,
2008-05,75049,
2008-06,74264,
2008-07,75479,
2008-08,77390,
2008-09,77971,
2008-10,77111,
2008-11,78338,
2008-12,79494,
2009-01,79844,
2009-02,80527,
2009-03,80453,
2009-04,81289,
2009-05,109864,
2009-06,112838,
2009-07,121001,
2009-08,124802,
2009-09,115757,
2009-10,114117,
2009-11,116602,
2009-12,118800,
2010-01,122409,
2010-02,124362,
2010-03,126199,
2010-04,127904,
2010-05,129524,
2010-06,130531,
2010-07,130191,
2010-08,135471,
2010-09,138013,
2010-10,139914,
2010-11,138098,
2010-12,137181,
2011-01,137542,
2011-02,138993,
2011-03,138540,
2011-04,140520,
2011-05,142172,
2011-06,141783,
2011-07,143330,
2011-08,145050,
2011-09,142982,
2011-10,144157,
2011-11,140920,
2011-12,146873,
2012-01,151139,
2012-02,155396,
2012-03,157900,
2012-04,158694,
2012-05,162462,
2012-06,162483,
2012-07,167912,
2012-08,171691,
2012-09,172093,
2012-10,174930,
2012-11,178285,
2012-12,181389,
2013-01,180223,
2013-02,182794,
2013-03,186272,
2013-04,190580,
2013-05,189333,
2013-06,184691,
2013-07,187521,
2013-08,185764,
2013-09,188360,
2013-10,191533,
2013-11,194134,
2013-12,192444,
2014-01,196187,
2014-02,199130,
2014-03,200540,
2014-04,198724,
2014-05,204473,
2014-06,205505,
2014-07,209949,
2014-08,216175,
2014-09,216343,
2014-10,219133,
2014-11,224553,
