"",BBK01.OEXL08P,BBK01.OEXL08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:36,
2002-01,0.213,
2002-04,0.216,
2002-07,0.209,
2002-10,0.215,
2003-01,0.222,
2003-04,0.238,
2003-07,0.255,
2003-10,0.254,
2004-01,0.244,
2004-04,0.242,
2004-07,0.233,
2004-10,0.245,
2005-01,0.250,
2005-04,0.257,
2005-07,0.270,
2005-10,0.291,
2006-01,0.293,
2006-04,0.290,
2006-07,0.280,
2006-10,0.281,
2007-01,0.276,
2007-04,0.276,
2007-07,0.289,
2007-10,0.300,
2008-01,0.303,
2008-04,0.296,
2008-07,0.284,
2008-10,0.289,
2009-01,0.286,
2009-04,0.284,
2009-07,0.309,
2009-10,0.336,
2010-01,0.352,
2010-04,0.342,
2010-07,0.349,
2010-10,0.380,
2011-01,0.347,
2011-04,0.320,
2011-07,0.311,
2011-10,0.317,
2012-01,0.318,
2012-04,0.313,
2012-07,0.314,
2012-10,0.318,
2013-01,0.311,
2013-04,0.307,
2013-07,0.306,
2013-10,0.308,
2014-01,0.297,
2014-04,0.291,
2014-07,0.287,
