"",BBK01.OEYM04N,BBK01.OEYM04N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:52,
2002-01,3.769,
2002-04,2.947,
2002-07,2.202,
2002-10,1.373,
2003-01,2.939,
2003-04,3.301,
2003-07,3.180,
2003-10,2.651,
2004-01,2.667,
2004-04,4.169,
2004-07,3.076,
2004-10,2.520,
2005-01,2.681,
2005-04,3.054,
2005-07,2.799,
2005-10,3.338,
2006-01,3.342,
2006-04,5.569,
2006-07,5.017,
2006-10,6.883,
2007-01,6.578,
2007-04,6.942,
2007-07,5.797,
2007-10,8.699,
2008-01,8.794,
2008-04,8.774,
2008-07,8.205,
2008-10,8.939,
2009-01,8.077,
2009-04,11.566,
2009-07,7.808,
2009-10,6.851,
2010-01,6.924,
2010-04,6.414,
2010-07,7.186,
2010-10,6.711,
2011-01,7.612,
2011-04,10.308,
2011-07,11.900,
2011-10,12.389,
2012-01,18.593,
2012-04,29.698,
2012-07,31.082,
2012-10,1.918,
2013-01,2.750,
2013-04,2.892,
2013-07,3.034,
2013-10,3.701,
2014-01,2.464,
2014-04,2.158,
2014-07,2.796,
