"",BBFN1.M.DE.N.1.A.NL.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.NL.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Netherlands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:11:47,
1968-12,0.039,
1969-01,.,No value available
1969-02,.,No value available
1969-03,.,No value available
1969-04,.,No value available
1969-05,.,No value available
1969-06,.,No value available
1969-07,.,No value available
1969-08,.,No value available
1969-09,.,No value available
1969-10,.,No value available
1969-11,.,No value available
1969-12,0.086,
1970-01,.,No value available
1970-02,.,No value available
1970-03,.,No value available
1970-04,.,No value available
1970-05,.,No value available
1970-06,.,No value available
1970-07,.,No value available
1970-08,.,No value available
1970-09,.,No value available
1970-10,.,No value available
1970-11,.,No value available
1970-12,0.187,
1971-01,.,No value available
1971-02,.,No value available
1971-03,.,No value available
1971-04,.,No value available
1971-05,.,No value available
1971-06,.,No value available
1971-07,.,No value available
1971-08,.,No value available
1971-09,.,No value available
1971-10,.,No value available
1971-11,.,No value available
1971-12,0.153,
1972-01,.,No value available
1972-02,.,No value available
1972-03,.,No value available
1972-04,.,No value available
1972-05,.,No value available
1972-06,.,No value available
1972-07,.,No value available
1972-08,.,No value available
1972-09,.,No value available
1972-10,.,No value available
1972-11,.,No value available
1972-12,0.118,
1973-01,.,No value available
1973-02,.,No value available
1973-03,.,No value available
1973-04,.,No value available
1973-05,.,No value available
1973-06,.,No value available
1973-07,.,No value available
1973-08,.,No value available
1973-09,.,No value available
1973-10,.,No value available
1973-11,.,No value available
1973-12,0.135,
1974-01,.,No value available
1974-02,.,No value available
1974-03,.,No value available
1974-04,.,No value available
1974-05,.,No value available
1974-06,.,No value available
1974-07,.,No value available
1974-08,.,No value available
1974-09,.,No value available
1974-10,.,No value available
1974-11,.,No value available
1974-12,0.141,
1975-01,.,No value available
1975-02,.,No value available
1975-03,.,No value available
1975-04,.,No value available
1975-05,.,No value available
1975-06,.,No value available
1975-07,.,No value available
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,0.139,
1976-01,0.141,
1976-02,0.143,
1976-03,0.171,
1976-04,0.178,
1976-05,0.209,
1976-06,0.200,
1976-07,0.203,
1976-08,0.196,
1976-09,0.184,
1976-10,0.181,
1976-11,0.201,
1976-12,0.167,
1977-01,0.182,
1977-02,0.180,
1977-03,0.182,
1977-04,0.205,
1977-05,0.214,
1977-06,0.209,
1977-07,0.213,
1977-08,0.206,
1977-09,0.208,
1977-10,0.227,
1977-11,0.203,
1977-12,0.214,
1978-01,0.239,
1978-02,0.263,
1978-03,0.277,
1978-04,0.309,
1978-05,0.328,
1978-06,0.285,
1978-07,0.196,
1978-08,0.203,
1978-09,0.211,
1978-10,0.238,
1978-11,0.229,
1978-12,0.221,
1979-01,0.240,
1979-02,0.220,
1979-03,0.229,
1979-04,0.288,
1979-05,0.244,
1979-06,0.256,
1979-07,0.271,
1979-08,0.255,
1979-09,0.234,
1979-10,0.293,
1979-11,0.302,
1979-12,0.281,
1980-01,0.292,
1980-02,0.341,
1980-03,0.365,
1980-04,0.372,
1980-05,0.418,
1980-06,0.368,
1980-07,0.337,
1980-08,0.318,
1980-09,0.321,
1980-10,0.357,
1980-11,0.303,
1980-12,0.370,
1981-01,0.341,
1981-02,0.353,
1981-03,0.370,
1981-04,0.435,
1981-05,0.472,
1981-06,0.355,
1981-07,0.425,
1981-08,0.425,
1981-09,0.442,
1981-10,0.436,
1981-11,0.446,
1981-12,0.373,
1982-01,0.434,
1982-02,0.428,
1982-03,0.389,
1982-04,0.380,
1982-05,0.404,
1982-06,0.427,
1982-07,0.411,
1982-08,0.433,
1982-09,0.432,
1982-10,0.387,
1982-11,0.345,
1982-12,0.341,
1983-01,0.340,
1983-02,0.308,
1983-03,0.321,
1983-04,0.394,
1983-05,0.404,
1983-06,0.386,
1983-07,0.345,
1983-08,0.316,
1983-09,0.320,
1983-10,0.358,
1983-11,0.359,
1983-12,0.360,
1984-01,0.377,
1984-02,0.379,
1984-03,0.389,
1984-04,0.460,
1984-05,0.426,
1984-06,0.413,
1984-07,0.467,
1984-08,0.425,
1984-09,0.467,
1984-10,0.533,
1984-11,0.510,
1984-12,0.540,
1985-01,0.633,
1985-02,0.560,
1985-03,0.557,
1985-04,0.635,
1985-05,0.562,
1985-06,0.596,
1985-07,0.545,
1985-08,0.503,
1985-09,0.550,
1985-10,0.653,
1985-11,0.719,
1985-12,1.196,
1986-01,1.394,
1986-02,1.533,
1986-03,1.754,
1986-04,1.869,
1986-05,2.001,
1986-06,2.041,
1986-07,2.377,
1986-08,2.387,
1986-09,2.229,
1986-10,2.461,
1986-11,2.327,
1986-12,2.100,
1987-01,2.206,
1987-02,2.275,
1987-03,2.287,
1987-04,2.294,
1987-05,2.317,
1987-06,2.271,
1987-07,2.030,
1987-08,2.153,
1987-09,2.277,
1987-10,2.233,
1987-11,2.433,
1987-12,2.197,
1988-01,2.118,
1988-02,2.004,
1988-03,1.980,
1988-04,1.975,
1988-05,2.248,
1988-06,2.188,
1988-07,2.176,
1988-08,2.043,
1988-09,2.031,
1988-10,2.056,
1988-11,2.153,
1988-12,2.104,
1989-01,2.259,
1989-02,2.004,
1989-03,2.376,
1989-04,2.612,
1989-05,2.815,
1989-06,2.807,
1989-07,2.439,
1989-08,2.833,
1989-09,3.005,
1989-10,3.662,
1989-11,3.430,
1989-12,3.325,
1990-01,3.452,
1990-02,3.651,
1990-03,4.226,
1990-04,4.472,
1990-05,4.721,
1990-06,4.745,
1990-07,4.854,
1990-08,5.335,
1990-09,5.192,
1990-10,5.390,
1990-11,5.235,
1990-12,5.420,
1991-01,5.976,
1991-02,6.264,
1991-03,6.545,
1991-04,6.784,
1991-05,6.635,
1991-06,6.333,
1991-07,6.811,
1991-08,6.888,
1991-09,6.869,
1991-10,7.226,
1991-11,7.591,
1991-12,7.171,
1992-01,6.942,
1992-02,4.561,
1992-03,4.343,
1992-04,4.105,
1992-05,4.150,
1992-06,4.224,
1992-07,4.209,
1992-08,4.185,
1992-09,3.879,
1992-10,3.744,
1992-11,3.753,
1992-12,2.782,
1993-01,3.607,
1993-02,4.322,
1993-03,5.313,
1993-04,5.377,
1993-05,5.342,
1993-06,4.724,
1993-07,4.438,
1993-08,4.336,
1993-09,4.243,
1993-10,4.439,
1993-11,4.241,
1993-12,4.178,
1994-01,4.798,
1994-02,4.814,
1994-03,5.125,
1994-04,5.379,
1994-05,5.522,
1994-06,5.577,
1994-07,5.888,
1994-08,5.922,
1994-09,6.128,
1994-10,5.749,
1994-11,6.113,
1994-12,4.951,
1995-01,5.305,
1995-02,5.712,
1995-03,6.008,
1995-04,6.440,
1995-05,6.168,
1995-06,5.857,
1995-07,5.158,
1995-08,5.228,
1995-09,5.589,
1995-10,6.323,
1995-11,6.591,
1995-12,5.371,
1996-01,5.746,
1996-02,6.156,
1996-03,6.978,
1996-04,6.293,
1996-05,5.898,
1996-06,5.498,
1996-07,5.228,
1996-08,4.811,
1996-09,4.309,
1996-10,3.810,
1996-11,3.848,
1996-12,4.012,
1997-01,4.928,
1997-02,4.900,
1997-03,4.916,
1997-04,5.382,
1997-05,5.153,
1997-06,5.302,
1997-07,5.423,
1997-08,5.424,
1997-09,5.421,
1997-10,5.507,
1997-11,5.462,
1997-12,5.494,
1998-01,5.363,
1998-02,5.746,
1998-03,5.544,
1998-04,5.629,
1998-05,5.700,
1998-06,5.890,
1998-07,5.703,
1998-08,5.733,
1998-09,5.677,
1998-10,6.333,
1998-11,6.205,
1998-12,6.232,
1999-01,6.891,
1999-02,7.876,
1999-03,9.828,
1999-04,10.268,
1999-05,11.102,
1999-06,12.313,
1999-07,12.784,
1999-08,13.316,
1999-09,13.106,
1999-10,10.529,
1999-11,10.577,
1999-12,9.827,
2000-01,10.617,
2000-02,11.141,
2000-03,10.794,
2000-04,9.856,
2000-05,9.597,
2000-06,8.502,
2000-07,7.513,
2000-08,8.140,
2000-09,6.865,
2000-10,6.717,
2000-11,7.702,
2000-12,7.895,
2001-01,7.284,
2001-02,9.472,
2001-03,9.322,
2001-04,8.082,
2001-05,8.850,
2001-06,8.113,
2001-07,7.432,
2001-08,7.005,
2001-09,6.843,
2001-10,6.778,
2001-11,6.444,
2001-12,7.548,
2002-01,8.925,
2002-02,8.749,
2002-03,11.506,
2002-04,8.592,
2002-05,9.820,
2002-06,8.856,
2002-07,8.216,
2002-08,8.469,
2002-09,7.553,
2002-10,8.669,
2002-11,8.449,
2002-12,11.823,
2003-01,10.998,
2003-02,11.486,
2003-03,10.005,
2003-04,10.669,
2003-05,12.020,
2003-06,12.342,
2003-07,12.641,
2003-08,12.086,
2003-09,12.116,
2003-10,12.167,
2003-11,12.864,
2003-12,12.339,
2004-01,12.885,
2004-02,13.909,
2004-03,13.862,
2004-04,13.760,
2004-05,13.328,
2004-06,14.570,
2004-07,14.340,
2004-08,14.912,
2004-09,14.606,
2004-10,14.212,
2004-11,13.252,
2004-12,13.930,
2005-01,13.519,
2005-02,15.105,
2005-03,14.679,
2005-04,14.757,
2005-05,14.223,
2005-06,13.028,
2005-07,13.419,
2005-08,14.012,
2005-09,12.511,
2005-10,12.513,
2005-11,13.324,
2005-12,13.842,
2006-01,13.687,
2006-02,14.675,
2006-03,14.353,
2006-04,16.226,
2006-05,17.681,
2006-06,17.364,
2006-07,16.582,
2006-08,17.637,
2006-09,18.082,
2006-10,18.230,
2006-11,16.119,
2006-12,15.650,
2007-01,19.835,
2007-02,17.326,
2007-03,17.283,
2007-04,19.137,
2007-05,18.328,
2007-06,17.001,
2007-07,17.771,
2007-08,18.711,
2007-09,18.890,
2007-10,19.669,
2007-11,18.154,
2007-12,15.861,
2008-01,14.504,
2008-02,16.891,
2008-03,19.268,
2008-04,20.663,
2008-05,22.136,
2008-06,20.215,
2008-07,21.024,
2008-08,20.191,
2008-09,19.033,
2008-10,19.246,
2008-11,22.046,
2008-12,21.817,
2009-01,21.657,
2009-02,21.859,
2009-03,25.407,
2009-04,24.919,
2009-05,21.933,
2009-06,22.264,
2009-07,22.629,
2009-08,21.394,
2009-09,21.826,
2009-10,24.682,
2009-11,24.503,
2009-12,23.507,
2010-01,25.138,
2010-02,24.820,
2010-03,24.886,
2010-04,25.430,
2010-05,25.484,
2010-06,29.552,
2010-07,26.839,
2010-08,27.619,
2010-09,27.508,
2010-10,27.761,
2010-11,29.023,
2010-12,28.049,
2011-01,29.826,
2011-02,29.994,
2011-03,31.239,
2011-04,30.669,
2011-05,30.591,
2011-06,34.153,
2011-07,34.260,
2011-08,35.660,
2011-09,36.389,
2011-10,35.663,
2011-11,32.199,
2011-12,31.784,
2012-01,32.437,
2012-02,32.878,
2012-03,33.921,
2012-04,34.171,
2012-05,34.734,
2012-06,36.026,
2012-07,35.189,
2012-08,35.643,
2012-09,35.485,
2012-10,34.329,
2012-11,38.337,
2012-12,35.893,
2013-01,38.213,
2013-02,37.735,
2013-03,41.117,
2013-04,40.401,
2013-05,40.679,
2013-06,40.894,
2013-07,39.642,
2013-08,39.783,
2013-09,40.970,
2013-10,39.791,
2013-11,40.201,
2013-12,38.078,
2014-01,39.837,
2014-02,40.791,
2014-03,40.767,
2014-04,40.381,
2014-05,41.458,
2014-06,40.414,
2014-07,39.611,
2014-08,40.945,
2014-09,40.288,
2014-10,40.187,
2014-11,37.464,
2014-12,41.302,
