"",BBSF2.M.1.P.00000.TOT01.I.F.AKT.U201.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.AKT.U201.00000.000000.Z01.00_FLAGS
"","Public funds / Funds total / Shares / Euro area member states excluding Germany (changing composition, Bundesbank calculation)",
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:53,
2009-09,23698,
2009-10,23195,
2009-11,23052,
2009-12,25381,
2010-01,23757,
2010-02,23339,
2010-03,25011,
2010-04,24042,
2010-05,22350,
2010-06,21800,
2010-07,22920,
2010-08,22058,
2010-09,22962,
2010-10,24170,
2010-11,22649,
2010-12,24445,
2011-01,25402,
2011-02,25747,
2011-03,24762,
2011-04,24964,
2011-05,24087,
2011-06,23818,
2011-07,22315,
2011-08,19131,
2011-09,17689,
2011-10,18952,
2011-11,18048,
2011-12,18314,
2012-01,19116,
2012-02,19500,
2012-03,18756,
2012-04,17699,
2012-05,16347,
2012-06,17537,
2012-07,18321,
2012-08,18752,
2012-09,19145,
2012-10,19623,
2012-11,20093,
2012-12,20837,
2013-01,21607,
2013-02,21064,
2013-03,21087,
2013-04,21841,
2013-05,22086,
2013-06,20850,
2013-07,22539,
2013-08,22505,
2013-09,23837,
2013-10,25480,
2013-11,26096,
2013-12,26324,
2014-01,25629,
2014-02,26895,
2014-03,27028,
2014-04,27311,
2014-05,27833,
2014-06,28579,
2014-07,27940,
2014-08,28226,
2014-09,28289,
2014-10,27541,
2014-11,28528,
