"",BBK01.OECB12O,BBK01.OECB12O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:02,
2002-01,1.168,
2002-04,1.235,
2002-07,1.192,
2002-10,1.173,
2003-01,1.154,
2003-04,1.034,
2003-07,0.984,
2003-10,0.963,
2004-01,0.944,
2004-04,0.914,
2004-07,0.865,
2004-10,0.791,
2005-01,0.982,
2005-04,0.937,
2005-07,0.870,
2005-10,0.838,
2006-01,0.819,
2006-04,0.804,
2006-07,0.758,
2006-10,0.681,
2007-01,0.684,
2007-04,0.674,
2007-07,0.646,
2007-10,0.635,
2008-01,0.629,
2008-04,0.657,
2008-07,0.710,
2008-10,0.726,
2009-01,0.731,
2009-04,0.734,
2009-07,0.748,
2009-10,0.810,
2010-01,0.795,
2010-04,0.807,
2010-07,0.797,
2010-10,0.827,
2011-01,0.799,
2011-04,0.821,
2011-07,0.788,
2011-10,0.781,
2012-01,0.802,
2012-04,0.741,
2012-07,0.735,
2012-10,0.734,
2013-01,0.716,
2013-04,0.712,
2013-07,0.673,
2013-10,0.687,
2014-01,0.700,
2014-04,0.738,
2014-07,0.746,
