"",BBFB1.Q.N.DE.NL.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.NL.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / Netherlands,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:17,
1991-01,-1480.560,
1991-04,-1533.137,
1991-07,-765.080,
1991-10,-1682.371,
1992-01,-1679.625,
1992-04,-1813.162,
1992-07,-1139.601,
1992-10,-2296.143,
1993-01,-1065.628,
1993-04,-941.125,
1993-07,-1406.155,
1993-10,-1417.466,
1994-01,-1050.237,
1994-04,-749.004,
1994-07,-870.250,
1994-10,-1294.559,
1995-01,-1599.818,
1995-04,-1892.184,
1995-07,-1226.250,
1995-10,-1924.488,
1996-01,-639.684,
1996-04,-1120.141,
1996-07,-2447.044,
1996-10,-1045.311,
1997-01,-2291.421,
1997-04,-2130.493,
1997-07,-2241.439,
1997-10,-1916.254,
1998-01,-1644.440,
1998-04,-1793.636,
1998-07,-1478.087,
1998-10,-2326.428,
1999-01,-1305.087,
1999-04,-1374.967,
1999-07,-1267.907,
1999-10,-2923.556,
2000-01,-1741.992,
2000-04,-3179.895,
2000-07,-4723.850,
2000-10,-1355.106,
2001-01,-3202.361,
2001-04,-2902.153,
2001-07,-2444.557,
2001-10,-2784.032,
2002-01,-2282.107,
2002-04,-2448.334,
2002-07,-2506.681,
2002-10,-2039.267,
2003-01,-2557.164,
2003-04,-2754.360,
2003-07,-2280.541,
2003-10,-2877.810,
2004-01,-1561.811,
2004-04,-1518.027,
2004-07,-1150.940,
2004-10,-1495.304,
2005-01,-1262.032,
2005-04,-565.819,
2005-07,-1900.152,
2005-10,-789.618,
2006-01,-608.060,
2006-04,-473.480,
2006-07,-1394.494,
2006-10,-1482.682,
2007-01,2415.367,
2007-04,2742.712,
2007-07,978.512,
2007-10,410.854,
2008-01,3038.933,
2008-04,-587.339,
2008-07,-2904.588,
2008-10,-873.124,
2009-01,135.781,
2009-04,1544.041,
2009-07,713.107,
2009-10,506.669,
2010-01,1423.199,
2010-04,712.521,
2010-07,607.317,
2010-10,-172.760,
2011-01,-304.825,
2011-04,-630.291,
2011-07,-521.095,
2011-10,-797.699,
2012-01,-383.804,
2012-04,-824.252,
2012-07,-1331.746,
2012-10,-2259.490,
2013-01,-1534.509,
2013-04,-2623.361,
2013-07,-2192.789,
2013-10,-1558.752,
2014-01,-690.805,Provisional value
2014-04,-1899.597,Provisional value
2014-07,-1584.952,Provisional value
