"",BBK01.OEAE10G,BBK01.OEAE10G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:51,
2002-01,13.810,
2002-04,14.388,
2002-07,13.773,
2002-10,14.128,
2003-01,12.802,
2003-04,12.854,
2003-07,12.884,
2003-10,11.663,
2004-01,11.295,
2004-04,11.569,
2004-07,11.478,
2004-10,11.612,
2005-01,11.187,
2005-04,11.977,
2005-07,10.819,
2005-10,11.316,
2006-01,11.599,
2006-04,12.788,
2006-07,11.987,
2006-10,12.162,
2007-01,12.151,
2007-04,11.874,
2007-07,11.556,
2007-10,12.394,
2008-01,12.970,
2008-04,13.000,
2008-07,14.377,
2008-10,15.234,
2009-01,15.008,
2009-04,14.453,
2009-07,14.286,
2009-10,12.905,
2010-01,12.076,
2010-04,12.134,
2010-07,11.680,
2010-10,11.331,
2011-01,11.457,
2011-04,11.141,
2011-07,10.901,
2011-10,10.897,
2012-01,10.940,
2012-04,11.417,
2012-07,11.496,
2012-10,10.816,
2013-01,10.498,
2013-04,10.520,
2013-07,9.506,
2013-10,8.546,
2014-01,8.346,
2014-04,8.628,
2014-07,8.061,
