"",BBK01.OEHB16M,BBK01.OEHB16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:02,
2002-01,14.497,
2002-04,14.508,
2002-07,14.571,
2002-10,14.633,
2003-01,14.903,
2003-04,14.965,
2003-07,15.022,
2003-10,14.981,
2004-01,14.884,
2004-04,14.881,
2004-07,14.882,
2004-10,14.839,
2005-01,14.489,
2005-04,14.552,
2005-07,14.573,
2005-10,14.563,
2006-01,14.464,
2006-04,14.460,
2006-07,14.429,
2006-10,14.368,
2007-01,14.230,
2007-04,14.212,
2007-07,14.181,
2007-10,14.181,
2008-01,14.080,
2008-04,14.116,
2008-07,14.098,
2008-10,14.081,
2009-01,14.008,
2009-04,14.064,
2009-07,14.036,
2009-10,14.106,
2010-01,14.005,
2010-04,14.191,
2010-07,14.223,
2010-10,14.196,
2011-01,14.105,
2011-04,14.137,
2011-07,14.170,
2011-10,14.177,
2012-01,14.130,
2012-04,14.160,
2012-07,14.284,
2012-10,14.361,
2013-01,14.344,
2013-04,14.470,
2013-07,14.604,
2013-10,14.559,
2014-01,14.548,
2014-04,14.604,
2014-07,14.639,
