"",BBK01.OEAH61G,BBK01.OEAH61G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:27,
2002-01,51.089,
2002-04,51.237,
2002-07,51.368,
2002-10,53.084,
2003-01,53.551,
2003-04,53.748,
2003-07,54.025,
2003-10,55.860,
2004-01,56.649,
2004-04,56.793,
2004-07,56.987,
2004-10,58.992,
2005-01,56.587,
2005-04,56.811,
2005-07,56.894,
2005-10,58.819,
2006-01,59.307,
2006-04,59.339,
2006-07,59.423,
2006-10,60.804,
2007-01,60.783,
2007-04,60.367,
2007-07,59.918,
2007-10,61.225,
2008-01,60.628,
2008-04,59.765,
2008-07,58.950,
2008-10,59.060,
2009-01,59.067,
2009-04,60.395,
2009-07,61.073,
2009-10,63.555,
2010-01,66.704,
2010-04,67.116,
2010-07,67.993,
2010-10,70.404,
2011-01,74.755,
2011-04,75.110,
2011-07,75.961,
2011-10,78.087,
2012-01,78.145,
2012-04,78.445,
2012-07,78.275,
2012-10,79.828,
2013-01,81.705,
2013-04,81.562,
2013-07,80.598,
2013-10,81.948,
2014-01,82.883,
2014-04,83.337,
2014-07,83.984,
