"",BBK01.OEAN07T,BBK01.OEAN07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:19,
2002-01,0.101,
2002-04,0.099,
2002-07,0.082,
2002-10,0.085,
2003-01,0.082,
2003-04,0.084,
2003-07,0.080,
2003-10,0.076,
2004-01,0.075,
2004-04,0.076,
2004-07,0.077,
2004-10,0.082,
2005-01,0.084,
2005-04,0.089,
2005-07,0.089,
2005-10,0.089,
2006-01,0.080,
2006-04,0.078,
2006-07,0.075,
2006-10,0.075,
2007-01,0.079,
2007-04,0.072,
2007-07,0.069,
2007-10,0.068,
2008-01,0.065,
2008-04,0.065,
2008-07,0.065,
2008-10,0.067,
2009-01,0.067,
2009-04,0.068,
2009-07,0.066,
2009-10,0.096,
2010-01,0.071,
2010-04,0.070,
2010-07,0.094,
2010-10,0.095,
2011-01,0.062,
2011-04,0.071,
2011-07,0.073,
2011-10,0.072,
2012-01,0.072,
2012-04,0.058,
2012-07,0.055,
2012-10,0.052,
2013-01,0.051,
2013-04,0.051,
2013-07,0.053,
2013-10,0.051,
2014-01,0.061,
2014-04,0.061,
2014-07,0.063,
