"",BBK01.OECL03O,BBK01.OECL03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:34,
2002-01,0.467,
2002-04,0.461,
2002-07,0.461,
2002-10,0.480,
2003-01,0.435,
2003-04,0.374,
2003-07,0.313,
2003-10,0.319,
2004-01,0.295,
2004-04,0.301,
2004-07,0.234,
2004-10,0.259,
2005-01,0.352,
2005-04,0.351,
2005-07,0.347,
2005-10,0.354,
2006-01,0.364,
2006-04,0.380,
2006-07,0.394,
2006-10,0.453,
2007-01,0.501,
2007-04,0.556,
2007-07,0.729,
2007-10,0.879,
2008-01,0.974,
2008-04,1.078,
2008-07,1.326,
2008-10,1.376,
2009-01,1.202,
2009-04,1.115,
2009-07,0.897,
2009-10,0.727,
2010-01,0.487,
2010-04,0.443,
2010-07,0.366,
2010-10,0.335,
2011-01,0.299,
2011-04,0.329,
2011-07,0.312,
2011-10,0.326,
2012-01,0.349,
2012-04,0.327,
2012-07,0.291,
2012-10,0.216,
2013-01,0.167,
2013-04,0.208,
2013-07,0.215,
2013-10,0.203,
2014-01,0.193,
2014-04,0.172,
2014-07,0.158,
