"",BBFN1.M.DE.N.1.L.U2.S1P.F0.L.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.U2.S1P.F0.L.NV00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis foreign affiliated enterprises arising from financial operations / Total / Euro-area member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:07:46,
1995-01,13.216,
1995-02,13.224,
1995-03,13.183,
1995-04,13.451,
1995-05,13.590,
1995-06,13.953,
1995-07,14.514,
1995-08,14.511,
1995-09,14.606,
1995-10,14.617,
1995-11,14.839,
1995-12,14.667,
1996-01,14.540,
1996-02,14.708,
1996-03,14.768,
1996-04,14.783,
1996-05,14.864,
1996-06,14.662,
1996-07,14.905,
1996-08,14.981,
1996-09,15.506,
1996-10,15.591,
1996-11,15.606,
1996-12,14.803,
1997-01,14.952,
1997-02,15.728,
1997-03,15.839,
1997-04,15.983,
1997-05,16.117,
1997-06,16.176,
1997-07,17.083,
1997-08,17.322,
1997-09,18.330,
1997-10,18.198,
1997-11,18.188,
1997-12,18.300,
1998-01,18.870,
1998-02,20.724,
1998-03,21.233,
1998-04,22.027,
1998-05,22.773,
1998-06,23.103,
1998-07,24.779,
1998-08,24.816,
1998-09,24.996,
1998-10,26.540,
1998-11,25.837,
1998-12,28.181,
1999-01,28.254,
1999-02,28.234,
1999-03,28.372,
1999-04,28.305,
1999-05,32.679,
1999-06,34.536,
1999-07,37.489,
1999-08,38.472,
1999-09,40.799,
1999-10,43.415,
1999-11,44.883,
1999-12,46.740,
2000-01,52.030,
2000-02,52.669,
2000-03,52.627,
2000-04,49.246,
2000-05,49.711,
2000-06,51.616,
2000-07,67.428,
2000-08,67.415,
2000-09,68.387,
2000-10,68.096,
2000-11,65.340,
2000-12,106.838,
2001-01,109.096,
2001-02,108.887,
2001-03,109.402,
2001-04,107.757,
2001-05,111.803,
2001-06,113.079,
2001-07,121.747,
2001-08,122.957,
2001-09,126.803,
2001-10,127.736,
2001-11,130.561,
2001-12,131.429,
2002-01,144.277,
2002-02,146.784,
2002-03,140.896,
2002-04,148.759,
2002-05,168.141,
2002-06,163.768,
2002-07,165.889,
2002-08,166.481,
2002-09,168.686,
2002-10,170.702,
2002-11,171.747,
2002-12,174.057,
2003-01,173.430,
2003-02,174.674,
2003-03,176.524,
2003-04,179.983,
2003-05,180.409,
2003-06,183.286,
2003-07,182.392,
2003-08,185.654,
2003-09,186.799,
2003-10,186.585,
2003-11,187.152,
2003-12,178.298,
2004-01,175.687,
2004-02,151.723,
2004-03,150.084,
2004-04,151.248,
2004-05,156.794,
2004-06,161.315,
2004-07,160.564,
2004-08,160.447,
2004-09,158.307,
2004-10,154.840,
2004-11,151.358,
2004-12,149.700,
2005-01,152.966,
2005-02,154.258,
2005-03,153.717,
2005-04,154.006,
2005-05,156.449,
2005-06,154.118,
2005-07,150.260,
2005-08,149.588,
2005-09,149.467,
2005-10,154.504,
2005-11,156.318,
2005-12,158.366,
2006-01,162.751,
2006-02,164.973,
2006-03,168.616,
2006-04,168.133,
2006-05,167.899,
2006-06,169.049,
2006-07,169.414,
2006-08,169.580,
2006-09,169.131,
2006-10,169.333,
2006-11,169.289,
2006-12,163.507,
2007-01,163.490,
2007-02,160.540,
2007-03,161.152,
2007-04,161.980,
2007-05,159.827,
2007-06,159.162,
2007-07,158.558,
2007-08,159.520,
2007-09,157.882,
2007-10,159.300,
2007-11,156.241,
2007-12,148.755,
2008-01,150.329,
2008-02,149.215,
2008-03,149.027,
2008-04,153.383,
2008-05,157.385,
2008-06,154.336,
2008-07,155.259,
2008-08,156.827,
2008-09,161.689,
2008-10,165.468,
2008-11,169.040,
2008-12,167.601,
2009-01,175.392,
2009-02,185.666,
2009-03,187.101,
2009-04,189.079,
2009-05,191.748,
2009-06,194.217,
2009-07,199.080,
2009-08,199.588,
2009-09,196.703,
2009-10,198.472,
2009-11,198.411,
2009-12,202.326,
2010-01,200.166,
2010-02,201.133,
2010-03,206.070,
2010-04,208.101,
2010-05,207.402,
2010-06,206.035,
2010-07,207.823,
2010-08,208.747,
2010-09,209.336,
2010-10,208.763,
2010-11,208.615,
2010-12,216.523,
2011-01,216.290,
2011-02,216.708,
2011-03,220.674,
2011-04,222.070,
2011-05,225.264,
2011-06,224.103,
2011-07,226.038,
2011-08,225.425,
2011-09,224.597,
2011-10,225.527,
2011-11,220.598,
2011-12,220.687,
2012-01,223.069,
2012-02,223.987,
2012-03,225.648,
2012-04,229.326,
2012-05,231.828,
2012-06,235.730,
2012-07,235.254,
2012-08,238.085,
2012-09,239.596,
2012-10,239.939,
2012-11,242.723,
2012-12,243.091,
2013-01,245.493,
2013-02,244.513,
2013-03,249.834,
2013-04,264.751,
2013-05,264.316,
2013-06,265.242,
2013-07,262.730,
2013-08,264.310,
2013-09,266.919,
2013-10,277.271,
2013-11,273.106,
2013-12,274.639,
2014-01,274.306,
2014-02,276.516,
2014-03,278.899,
2014-04,279.287,
2014-05,282.922,
2014-06,285.479,
2014-07,285.426,
2014-08,285.351,
2014-09,284.745,
2014-10,286.322,
2014-11,287.412,
2014-12,286.732,
"","General: From January 2001, including Greece; from January 2007, including Slovenia; from January 2008, including Cyprus and Malta; from January 2009, including Slovakia; from January 2011, including Estonia.",
