"",BBK01.OEAA03M,BBK01.OEAA03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:39,
2002-01,28.398,
2002-04,29.344,
2002-07,28.390,
2002-10,27.072,
2003-01,28.011,
2003-04,28.334,
2003-07,27.038,
2003-10,25.650,
2004-01,25.207,
2004-04,27.154,
2004-07,26.691,
2004-10,25.175,
2005-01,26.643,
2005-04,26.208,
2005-07,24.216,
2005-10,24.037,
2006-01,24.221,
2006-04,25.011,
2006-07,24.851,
2006-10,24.500,
2007-01,24.195,
2007-04,24.892,
2007-07,25.301,
2007-10,26.084,
2008-01,28.761,
2008-04,27.985,
2008-07,27.507,
2008-10,28.249,
2009-01,29.491,
2009-04,27.965,
2009-07,25.363,
2009-10,23.950,
2010-01,26.282,
2010-04,22.567,
2010-07,22.654,
2010-10,22.682,
2011-01,23.610,
2011-04,25.014,
2011-07,24.382,
2011-10,24.510,
2012-01,24.470,
2012-04,24.115,
2012-07,23.996,
2012-10,22.960,
2013-01,22.742,
2013-04,22.787,
2013-07,22.488,
2013-10,22.031,
2014-01,21.707,
2014-04,22.186,
2014-07,23.000,
