"",BBK01.OEXB20M,BBK01.OEXB20M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:52,
2002-01,9.025,
2002-04,9.132,
2002-07,9.230,
2002-10,9.106,
2003-01,9.331,
2003-04,9.411,
2003-07,9.460,
2003-10,9.553,
2004-01,9.512,
2004-04,9.601,
2004-07,9.783,
2004-10,9.781,
2005-01,9.802,
2005-04,9.816,
2005-07,10.027,
2005-10,10.087,
2006-01,10.098,
2006-04,10.120,
2006-07,10.158,
2006-10,9.741,
2007-01,9.688,
2007-04,9.706,
2007-07,9.819,
2007-10,9.795,
2008-01,9.691,
2008-04,9.845,
2008-07,9.245,
2008-10,9.258,
2009-01,9.414,
2009-04,9.557,
2009-07,9.593,
2009-10,9.073,
2010-01,9.091,
2010-04,9.144,
2010-07,9.248,
2010-10,9.255,
2011-01,9.291,
2011-04,9.365,
2011-07,9.436,
2011-10,9.516,
2012-01,9.567,
2012-04,9.674,
2012-07,9.817,
2012-10,9.876,
2013-01,9.921,
2013-04,10.038,
2013-07,10.169,
2013-10,10.269,
2014-01,10.345,
2014-04,10.649,
2014-07,10.771,
