"",BBK01.OELL05H,BBK01.OELL05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:05,
2002-01,1.274,
2002-04,1.316,
2002-07,1.358,
2002-10,1.422,
2003-01,1.411,
2003-04,1.396,
2003-07,1.392,
2003-10,1.507,
2004-01,1.557,
2004-04,1.571,
2004-07,1.596,
2004-10,1.785,
2005-01,1.757,
2005-04,1.737,
2005-07,1.786,
2005-10,1.844,
2006-01,1.933,
2006-04,1.945,
2006-07,2.045,
2006-10,2.126,
2007-01,2.090,
2007-04,2.041,
2007-07,2.034,
2007-10,2.017,
2008-01,1.929,
2008-04,1.846,
2008-07,1.841,
2008-10,1.842,
2009-01,1.701,
2009-04,1.657,
2009-07,1.597,
2009-10,1.739,
2010-01,1.810,
2010-04,1.816,
2010-07,1.824,
2010-10,1.833,
2011-01,1.872,
2011-04,1.949,
2011-07,1.945,
2011-10,1.920,
2012-01,1.771,
2012-04,1.696,
2012-07,1.602,
2012-10,1.495,
2013-01,1.403,
2013-04,1.321,
2013-07,1.239,
2013-10,1.213,
2014-01,1.161,
2014-04,1.134,
2014-07,1.087,
