"",BBK01.OEAC29O,BBK01.OEAC29O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:39,
2002-01,2.699,
2002-04,2.651,
2002-07,2.664,
2002-10,2.618,
2003-01,2.492,
2003-04,2.453,
2003-07,2.380,
2003-10,2.288,
2004-01,2.275,
2004-04,2.265,
2004-07,2.218,
2004-10,2.162,
2005-01,2.153,
2005-04,2.121,
2005-07,2.064,
2005-10,2.001,
2006-01,2.009,
2006-04,2.008,
2006-07,1.958,
2006-10,1.901,
2007-01,1.885,
2007-04,1.902,
2007-07,1.822,
2007-10,1.799,
2008-01,1.822,
2008-04,1.824,
2008-07,1.780,
2008-10,1.827,
2009-01,1.868,
2009-04,1.860,
2009-07,1.805,
2009-10,1.763,
2010-01,1.769,
2010-04,1.818,
2010-07,1.736,
2010-10,1.692,
2011-01,1.719,
2011-04,1.728,
2011-07,1.665,
2011-10,1.603,
2012-01,1.634,
2012-04,1.662,
2012-07,1.582,
2012-10,1.764,
2013-01,1.614,
2013-04,1.584,
2013-07,1.517,
2013-10,1.652,
2014-01,1.498,
2014-04,1.523,
2014-07,1.480,
