"",BBK01.OEYI03I,BBK01.OEYI03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:48,
2002-01,30.234,
2002-04,30.364,
2002-07,30.569,
2002-10,30.125,
2003-01,30.213,
2003-04,28.969,
2003-07,29.081,
2003-10,31.485,
2004-01,32.505,
2004-04,32.192,
2004-07,33.347,
2004-10,33.035,
2005-01,34.259,
2005-04,32.787,
2005-07,33.633,
2005-10,34.184,
2006-01,35.633,
2006-04,37.125,
2006-07,37.996,
2006-10,38.331,
2007-01,38.482,
2007-04,39.292,
2007-07,42.671,
2007-10,41.726,
2008-01,42.841,
2008-04,46.677,
2008-07,48.001,
2008-10,45.168,
2009-01,48.252,
2009-04,48.721,
2009-07,47.342,
2009-10,47.945,
2010-01,49.439,
2010-04,44.463,
2010-07,51.431,
2010-10,51.386,
2011-01,50.683,
2011-04,53.883,
2011-07,55.258,
2011-10,51.688,
2012-01,52.383,
2012-04,51.352,
2012-07,51.868,
2012-10,50.475,
2013-01,53.584,
2013-04,51.829,
2013-07,43.277,
2013-10,42.095,
2014-01,43.505,
2014-04,43.593,
2014-07,43.777,
