"",BBK01.BU1130,BBK01.BU1130_FLAGS
"",Central government debt - other old debt,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:35:41,
1950-12,-,Nothing exists
1951-01,.,No value available
1951-02,.,No value available
1951-03,.,No value available
1951-04,.,No value available
1951-05,.,No value available
1951-06,.,No value available
1951-07,.,No value available
1951-08,.,No value available
1951-09,.,No value available
1951-10,.,No value available
1951-11,.,No value available
1951-12,-,Nothing exists
1952-01,.,No value available
1952-02,.,No value available
1952-03,.,No value available
1952-04,.,No value available
1952-05,.,No value available
1952-06,.,No value available
1952-07,.,No value available
1952-08,.,No value available
1952-09,.,No value available
1952-10,.,No value available
1952-11,.,No value available
1952-12,-,Nothing exists
1953-01,.,No value available
1953-02,.,No value available
1953-03,.,No value available
1953-04,.,No value available
1953-05,.,No value available
1953-06,.,No value available
1953-07,.,No value available
1953-08,.,No value available
1953-09,.,No value available
1953-10,.,No value available
1953-11,.,No value available
1953-12,3473.4,
1954-01,.,No value available
1954-02,.,No value available
1954-03,.,No value available
1954-04,.,No value available
1954-05,.,No value available
1954-06,.,No value available
1954-07,.,No value available
1954-08,.,No value available
1954-09,.,No value available
1954-10,.,No value available
1954-11,.,No value available
1954-12,3960.3,
1955-01,.,No value available
1955-02,.,No value available
1955-03,.,No value available
1955-04,.,No value available
1955-05,.,No value available
1955-06,.,No value available
1955-07,.,No value available
1955-08,.,No value available
1955-09,.,No value available
1955-10,.,No value available
1955-11,.,No value available
1955-12,4130.7,
1956-01,.,No value available
1956-02,.,No value available
1956-03,.,No value available
1956-04,.,No value available
1956-05,.,No value available
1956-06,.,No value available
1956-07,.,No value available
1956-08,.,No value available
1956-09,.,No value available
1956-10,.,No value available
1956-11,.,No value available
1956-12,4118.9,
1957-01,.,No value available
1957-02,.,No value available
1957-03,.,No value available
1957-04,.,No value available
1957-05,.,No value available
1957-06,.,No value available
1957-07,.,No value available
1957-08,.,No value available
1957-09,.,No value available
1957-10,.,No value available
1957-11,.,No value available
1957-12,4080.9,
1958-01,.,No value available
1958-02,.,No value available
1958-03,.,No value available
1958-04,.,No value available
1958-05,.,No value available
1958-06,.,No value available
1958-07,.,No value available
1958-08,.,No value available
1958-09,.,No value available
1958-10,.,No value available
1958-11,.,No value available
1958-12,3987.1,
1959-01,.,No value available
1959-02,.,No value available
1959-03,.,No value available
1959-04,.,No value available
1959-05,.,No value available
1959-06,.,No value available
1959-07,.,No value available
1959-08,.,No value available
1959-09,.,No value available
1959-10,.,No value available
1959-11,.,No value available
1959-12,3423.2,
1960-01,.,No value available
1960-02,.,No value available
1960-03,.,No value available
1960-04,.,No value available
1960-05,.,No value available
1960-06,.,No value available
1960-07,.,No value available
1960-08,.,No value available
1960-09,.,No value available
1960-10,.,No value available
1960-11,.,No value available
1960-12,3505.6,
1961-01,.,No value available
1961-02,.,No value available
1961-03,.,No value available
1961-04,.,No value available
1961-05,.,No value available
1961-06,.,No value available
1961-07,.,No value available
1961-08,.,No value available
1961-09,.,No value available
1961-10,.,No value available
1961-11,.,No value available
1961-12,1771.7,
1962-01,-,Nothing exists
1962-02,-,Nothing exists
1962-03,-,Nothing exists
1962-04,-,Nothing exists
1962-05,-,Nothing exists
1962-06,-,Nothing exists
1962-07,-,Nothing exists
1962-08,-,Nothing exists
1962-09,-,Nothing exists
1962-10,-,Nothing exists
1962-11,-,Nothing exists
1962-12,1739.9,
1963-01,-,Nothing exists
1963-02,-,Nothing exists
1963-03,-,Nothing exists
1963-04,-,Nothing exists
1963-05,-,Nothing exists
1963-06,-,Nothing exists
1963-07,-,Nothing exists
1963-08,-,Nothing exists
1963-09,-,Nothing exists
1963-10,-,Nothing exists
1963-11,-,Nothing exists
1963-12,1638.3,
1964-01,-,Nothing exists
1964-02,-,Nothing exists
1964-03,-,Nothing exists
1964-04,-,Nothing exists
1964-05,-,Nothing exists
1964-06,-,Nothing exists
1964-07,-,Nothing exists
1964-08,-,Nothing exists
1964-09,-,Nothing exists
1964-10,-,Nothing exists
1964-11,-,Nothing exists
1964-12,1604.6,
1965-01,-,Nothing exists
1965-02,-,Nothing exists
1965-03,-,Nothing exists
1965-04,-,Nothing exists
1965-05,-,Nothing exists
1965-06,-,Nothing exists
1965-07,-,Nothing exists
1965-08,-,Nothing exists
1965-09,-,Nothing exists
1965-10,-,Nothing exists
1965-11,-,Nothing exists
1965-12,1567.0,
1966-01,1566.3,
1966-02,1565.5,
1966-03,1565.8,
1966-04,1548.5,
1966-05,1545.6,
1966-06,1531.2,
1966-07,1515.4,
1966-08,1514.2,
1966-09,1513.6,
1966-10,1509.1,
1966-11,1506.9,
1966-12,1109.3,
1967-01,1106.9,
1967-02,1106.8,
1967-03,1107.5,
1967-04,1090.1,
1967-05,1092.6,
1967-06,1083.6,
1967-07,1082.7,
1967-08,1081.8,
1967-09,1082.3,
1967-10,1082.8,
1967-11,1069.1,
1967-12,1069.3,
1968-01,1067.2,
1968-02,1067.3,
1968-03,1067.3,
1968-04,1049.3,
1968-05,1049.3,
1968-06,1038.2,
1968-07,1035.8,
1968-08,1035.8,
1968-09,898.0,
1968-10,898.0,
1968-11,898.0,
1968-12,897.5,
1969-01,895.9,
1969-02,895.9,
1969-03,895.9,
1969-04,878.5,
1969-05,869.1,
1969-06,868.1,
1969-07,868.0,
1969-08,868.0,
1969-09,866.2,
1969-10,696.3,
1969-11,696.3,
1969-12,665.6,
1970-01,664.1,
1970-02,664.0,
1970-03,663.1,
1970-04,632.2,
1970-05,629.7,
1970-06,626.6,
1970-07,624.8,
1970-08,622.9,
1970-09,622.2,
1970-10,622.1,
1970-11,619.8,
1970-12,620.0,
1971-01,618.2,
1971-02,616.7,
1971-03,614.4,
1971-04,611.4,
1971-05,608.2,
1971-06,598.3,
1971-07,596.3,
1971-08,596.1,
1971-09,595.7,
1971-10,595.5,
1971-11,595.3,
1971-12,595.1,
1972-01,594.4,
1972-02,595.2,
1972-03,594.1,
1972-04,591.3,
1972-05,589.4,
1972-06,588.2,
1972-07,586.1,
1972-08,585.6,
1972-09,585.3,
1972-10,547.8,
1972-11,547.8,
1972-12,482.6,
1973-01,480.6,
1973-02,479.5,
1973-03,480.9,
1973-04,480.0,
1973-05,455.6,
1973-06,456.5,
1973-07,454.4,
1973-08,453.3,
1973-09,453.0,
1973-10,368.8,
1973-11,367.8,
1973-12,370.6,
1974-01,367.2,
1974-02,362.0,
1974-03,346.1,
1974-04,335.9,
1974-05,333.7,
1974-06,341.5,
1974-07,346.6,
1974-08,350.9,
1974-09,351.9,
1974-10,343.8,
1974-11,331.4,
1974-12,328.5,
1975-01,321.6,
1975-02,320.5,
1975-03,325.9,
1975-04,325.0,
1975-05,321.4,
1975-06,314.9,
1975-07,326.1,
1975-08,329.1,
1975-09,330.9,
1975-10,325.5,
1975-11,329.2,
1975-12,326.9,
1976-01,321.6,
1976-02,317.6,
1976-03,307.2,
1976-04,300.7,
1976-05,294.0,
1976-06,300.5,
1976-07,291.5,
1976-08,290.1,
1976-09,278.1,
1976-10,272.4,
1976-11,273.2,
1976-12,269.6,
1977-01,273.2,
1977-02,269.2,
1977-03,268.8,
1977-04,260.6,
1977-05,252.4,
1977-06,256.6,
1977-07,250.8,
1977-08,252.5,
1977-09,251.5,
1977-10,249.6,
1977-11,246.7,
1977-12,241.2,
1978-01,241.4,
1978-02,234.2,
1978-03,234.9,
1978-04,233.6,
1978-05,250.5,
1978-06,290.9,
1978-07,292.6,
1978-08,287.8,
1978-09,283.9,
1978-10,268.7,
1978-11,276.9,
1978-12,272.7,
1979-01,267.6,
1979-02,267.3,
1979-03,269.5,
1979-04,271.4,
1979-05,261.2,
1979-06,261.8,
1979-07,261.9,
1979-08,260.0,
1979-09,252.6,
1979-10,253.4,
1979-11,253.4,
1979-12,252.0,
1980-01,252.1,
1980-02,253.4,
1980-03,263.7,
1980-04,256.2,
1980-05,256.7,
1980-06,7.2,
1980-07,6.3,
1980-08,6.1,
1980-09,6.3,
1980-10,6.6,
1980-11,6.6,
1980-12,6.7,
1981-01,6.0,
1981-02,6.1,
1981-03,6.0,
1981-04,6.3,
1981-05,6.5,
1981-06,6.7,
1981-07,5.1,
1981-08,5.1,
1981-09,5.0,
1981-10,4.8,
1981-11,4.7,
1981-12,4.8,
1982-01,3.3,
1982-02,3.4,
1982-03,3.4,
1982-04,3.3,
1982-05,3.3,
1982-06,3.4,
1982-07,1.6,
1982-08,1.6,
1982-09,1.6,
1982-10,1.7,
1982-11,1.6,
1982-12,1.6,
1983-01,1.2,
1983-02,1.2,
1983-03,1.2,
1983-04,1.2,
1983-05,1.2,
1983-06,1.2,
1983-07,0.9,
1983-08,0.9,
1983-09,0.9,
1983-10,0.9,
1983-11,0.9,
1983-12,0.9,
1984-01,0.9,
1984-02,0.9,
1984-03,0.9,
1984-04,0.9,
1984-05,0.9,
1984-06,0.9,
1984-07,0.7,
1984-08,0.7,
1984-09,0.7,
1984-10,0.7,
1984-11,0.7,
1984-12,0.7,
1985-01,0.6,
1985-02,0.5,
1985-03,0.6,
1985-04,0.6,
1985-05,0.6,
1985-06,0.6,
1985-07,0.5,
1985-08,0.5,
1985-09,0.5,
1985-10,0.5,
1985-11,0.4,
1985-12,0.5,
1986-01,0.3,
1986-02,0.3,
1986-03,0.3,
1986-04,0.3,
1986-05,0.3,
1986-06,0.3,
1986-07,0.3,
1986-08,0.3,
1986-09,0.3,
1986-10,0.3,
1986-11,0.3,
1986-12,0.3,
1987-01,0.2,
1987-02,0.2,
1987-03,0.2,
1987-04,0.2,
1987-05,0.2,
1987-06,0.2,
1987-07,0.2,
1987-08,0.2,
1987-09,0.2,
1987-10,0.2,
1987-11,0.2,
1987-12,0.2,
1988-01,0.2,
1988-02,0.2,
1988-03,0.2,
1988-04,0.2,
1988-05,0.2,
1988-06,0.2,
1988-07,0.2,
1988-08,0.2,
1988-09,0.2,
1988-10,0.2,
1988-11,0.2,
1988-12,0.2,
1989-01,0.2,
1989-02,0.2,
1989-03,0.2,
1989-04,0.2,
1989-05,0.2,
1989-06,0.2,
1989-07,0.2,
1989-08,0.2,
1989-09,0.2,
1989-10,0.2,
1989-11,0.2,
1989-12,0.2,
1990-01,0.2,
1990-02,0.2,
1990-03,0.2,
1990-04,0.2,
1990-05,0.2,
1990-06,0.2,
1990-07,0.2,
1990-08,0.2,
1990-09,0.2,
1990-10,0.2,
1990-11,0.2,
1990-12,0.2,
1991-01,0.2,
1991-02,0.2,
1991-03,0.2,
1991-04,0.2,
1991-05,0.2,
1991-06,0.2,
1991-07,0.2,
1991-08,0.2,
1991-09,0.2,
1991-10,99.6,
1991-11,98.2,
1991-12,94.8,
1992-01,97.7,
1992-02,98.2,
1992-03,98.2,
1992-04,99.0,
1992-05,97.9,
1992-06,95.4,
1992-07,93.9,
1992-08,91.6,
1992-09,90.6,
1992-10,93.4,
1992-11,94.6,
1992-12,94.9,
1993-01,93.9,
1993-02,94.8,
1993-03,94.4,
1993-04,94.2,
1993-05,94.7,
1993-06,97.7,
1993-07,98.9,
1993-08,96.3,
1993-09,94.8,
1993-10,96.4,
1993-11,97.9,
1993-12,99.0,
1994-01,100.3,
1994-02,99.0,
1994-03,97.3,
1994-04,97.1,
1994-05,96.3,
1994-06,94.9,
1994-07,94.9,
1994-08,94.4,
1994-09,93.8,
1994-10,92.5,
1994-11,94.0,
1994-12,93.2,
1995-01,91.9,
1995-02,89.8,
1995-03,87.6,
1995-04,87.3,
1995-05,87.7,
1995-06,87.4,
1995-07,87.6,
1995-08,90.5,
1995-09,89.3,
1995-10,89.1,
1995-11,89.7,
1995-12,89.9,
1996-01,91.5,
1996-02,90.9,
1996-03,91.4,
1996-04,93.2,
1996-05,93.4,
1996-06,93.1,
1996-07,91.4,
1996-08,91.6,
1996-09,93.3,
1996-10,91.9,
1996-11,92.7,
1996-12,93.2,
1997-01,95.3,
1997-02,97.3,
1997-03,96.9,
1997-04,98.9,
1997-05,98.3,
1997-06,100.0,
1997-07,103.0,
1997-08,101.5,
1997-09,100.7,
1997-10,98.4,
1997-11,99.9,
1997-12,100.7,
1998-01,101.6,
1998-02,101.1,
1998-03,102.5,
1998-04,100.3,
1998-05,99.7,
1998-06,100.6,
1998-07,99.4,
1998-08,99.5,
1998-09,96.4,
1998-10,94.2,
1998-11,95.5,
1998-12,94.8,
1999-01,96.2,
1999-02,97.9,
1999-03,99.4,
1999-04,100.2,
1999-05,101.0,
1999-06,101.6,
1999-07,103.7,comment
1999-08,104.1,
1999-09,103.3,
1999-10,102.6,
1999-11,104.0,
1999-12,104.2,
2000-01,105.8,
2000-02,106.0,
2000-03,107.3,
2000-04,110.7,
2000-05,108.3,
2000-06,106.8,
2000-07,108.9,
2000-08,111.1,
2000-09,112.5,
2000-10,113.7,
2000-11,111.2,
2000-12,106.9,
2001-01,106.7,
2001-02,106.7,
2001-03,109.7,
2001-04,109.4,
2001-05,112.6,
2001-06,112.4,
2001-07,110.4,
2001-08,107.5,
2001-09,106.4,
2001-10,105.4,
2001-11,106.2,
2001-12,107.1,
2002-01,108.3,
2002-02,108.2,
2002-03,107.8,
2002-04,105.9,
2002-05,103.2,
2002-06,99.9,
2002-07,101.4,
2002-08,100.9,
2002-09,100.9,
2002-10,99.2,
2002-11,98.6,
2002-12,96.3,
2003-01,94.3,
2003-02,94.1,
2003-03,93.4,
2003-04,92.0,
2003-05,89.0,
2003-06,90.6,
2003-07,91.0,
2003-08,92.7,
2003-09,89.9,
2003-10,88.7,
2003-11,87.3,
2003-12,85.1,
2004-01,86.1,
2004-02,86.1,
2004-03,86.9,
2004-04,87.7,
2004-05,87.3,
2004-06,87.3,
2004-07,87.7,
2004-08,87.2,
2004-09,86.1,
2004-10,85.3,
2004-11,82.4,
2004-12,81.1,
2005-01,82.8,
2005-02,82.3,
2005-03,83.1,
2005-04,83.3,
2005-05,85.2,
2005-06,85.8,
2005-07,85.5,
2005-08,85.4,
2005-09,85.8,
2005-10,84.6,
2005-11,85.3,
2005-12,85.2,
2006-01,84.3,
2006-02,85.0,
2006-03,83.9,
2006-04,82.7,
2006-05,82.0,
2006-06,82.3,
2006-07,82.2,
2006-08,82.1,
2006-09,82.5,
2006-10,81.2,
2006-11,79.7,
2006-12,79.8,
2007-01,80.3,
2007-02,79.5,
2007-03,79.0,
2007-04,78.2,
2007-05,78.5,
2007-06,78.5,
2007-07,78.0,
2007-08,77.9,
2007-09,76.5,
2007-10,74.6,
2007-11,73.8,
2007-12,73.6,
2008-01,71.4,
