"",BBK01.OEAC21S,BBK01.OEAC21S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:57,
2002-01,0.059,
2002-04,0.078,
2002-07,0.082,
2002-10,0.061,
2003-01,0.069,
2003-04,0.087,
2003-07,0.096,
2003-10,0.055,
2004-01,0.071,
2004-04,0.095,
2004-07,0.089,
2004-10,0.056,
2005-01,0.064,
2005-04,0.078,
2005-07,0.086,
2005-10,0.052,
2006-01,0.069,
2006-04,0.077,
2006-07,0.083,
2006-10,0.044,
2007-01,0.057,
2007-04,0.081,
2007-07,0.078,
2007-10,0.047,
2008-01,0.053,
2008-04,0.079,
2008-07,0.077,
2008-10,0.047,
2009-01,0.058,
2009-04,0.083,
2009-07,0.093,
2009-10,0.070,
2010-01,0.070,
2010-04,0.094,
2010-07,0.089,
2010-10,0.055,
2011-01,0.074,
2011-04,0.100,
2011-07,0.095,
2011-10,0.061,
2012-01,0.076,
2012-04,0.105,
2012-07,0.089,
2012-10,0.057,
2013-01,0.067,
2013-04,0.103,
2013-07,0.086,
2013-10,0.054,
2014-01,0.069,
2014-04,0.094,
2014-07,0.089,
