"",BBFB1.Q.N.DE.FI.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.FI.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Finland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:04,
1991-01,2.254,
1991-04,0.716,
1991-07,2.524,
1991-10,2.007,
1992-01,2.634,
1992-04,2.958,
1992-07,4.054,
1992-10,3.358,
1993-01,3.626,
1993-04,3.497,
1993-07,4.026,
1993-10,3.472,
1994-01,3.987,
1994-04,3.519,
1994-07,3.338,
1994-10,4.684,
1995-01,4.765,
1995-04,4.249,
1995-07,3.581,
1995-10,4.401,
1996-01,4.327,
1996-04,6.722,
1996-07,3.201,
1996-10,7.300,
1997-01,5.451,
1997-04,4.935,
1997-07,5.633,
1997-10,10.365,
1998-01,9.362,
1998-04,12.191,
1998-07,7.176,
1998-10,10.875,
1999-01,11.211,
1999-04,11.472,
1999-07,9.011,
1999-10,7.834,
2000-01,8.459,
2000-04,8.968,
2000-07,7.143,
2000-10,8.138,
2001-01,6.657,
2001-04,8.436,
2001-07,6.773,
2001-10,8.345,
2002-01,10.400,
2002-04,13.546,
2002-07,6.081,
2002-10,8.438,
2003-01,7.895,
2003-04,9.247,
2003-07,9.781,
2003-10,8.906,
2004-01,14.075,
2004-04,15.006,
2004-07,15.248,
2004-10,12.696,
2005-01,8.787,
2005-04,7.437,
2005-07,7.201,
2005-10,5.644,
2006-01,5.714,
2006-04,11.062,
2006-07,5.847,
2006-10,8.011,
2007-01,4.323,
2007-04,11.469,
2007-07,30.451,
2007-10,4.975,
2008-01,9.857,
2008-04,15.505,
2008-07,6.970,
2008-10,7.478,
2009-01,9.134,
2009-04,11.555,
2009-07,4.821,
2009-10,4.797,
2010-01,8.805,
2010-04,15.748,
2010-07,8.472,
2010-10,4.555,
2011-01,8.392,
2011-04,16.903,
2011-07,9.553,
2011-10,4.837,
2012-01,8.785,
2012-04,17.921,
2012-07,14.640,
2012-10,12.672,
2013-01,4.648,
2013-04,18.433,
2013-07,13.133,
2013-10,9.468,
2014-01,8.607,Provisional value
2014-04,15.232,Provisional value
2014-07,13.329,Provisional value
