"",BBFB1.Q.N.DE.AT.S1.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Receipts / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:20,
1991-01,123.043,
1991-04,144.673,
1991-07,122.314,
1991-10,144.738,
1992-01,210.295,
1992-04,219.453,
1992-07,229.399,
1992-10,231.475,
1993-01,203.512,
1993-04,209.887,
1993-07,214.690,
1993-10,237.213,
1994-01,255.114,
1994-04,257.096,
1994-07,268.473,
1994-10,261.661,
1995-01,350.331,
1995-04,359.873,
1995-07,341.575,
1995-10,368.083,
1996-01,169.232,
1996-04,183.105,
1996-07,188.316,
1996-10,197.441,
1997-01,187.893,
1997-04,210.981,
1997-07,211.016,
1997-10,234.439,
1998-01,248.220,
1998-04,332.084,
1998-07,265.499,
1998-10,308.116,
1999-01,253.143,
1999-04,308.112,
1999-07,292.536,
1999-10,290.568,
2000-01,103.224,
2000-04,138.192,
2000-07,132.789,
2000-10,138.611,
2001-01,624.266,
2001-04,702.945,
2001-07,685.035,
2001-10,701.633,
2002-01,303.003,
2002-04,351.998,
2002-07,339.334,
2002-10,364.646,
2003-01,128.984,
2003-04,137.533,
2003-07,125.762,
2003-10,113.451,
2004-01,379.476,
2004-04,385.061,
2004-07,360.333,
2004-10,346.542,
2005-01,576.415,
2005-04,654.356,
2005-07,622.825,
2005-10,623.540,
2006-01,591.368,
2006-04,622.577,
2006-07,563.796,
2006-10,542.035,
2007-01,296.443,
2007-04,428.524,
2007-07,330.239,
2007-10,342.014,
2008-01,237.197,
2008-04,305.886,
2008-07,259.712,
2008-10,240.921,
2009-01,178.302,
2009-04,218.852,
2009-07,214.466,
2009-10,174.006,
2010-01,220.802,
2010-04,270.397,
2010-07,244.625,
2010-10,366.524,
2011-01,304.817,
2011-04,384.885,
2011-07,323.882,
2011-10,333.833,
2012-01,399.445,
2012-04,469.169,
2012-07,393.393,
2012-10,416.220,
2013-01,338.967,
2013-04,411.686,
2013-07,345.059,
2013-10,380.212,
2014-01,387.971,Provisional value
2014-04,452.845,Provisional value
2014-07,409.336,Provisional value
