"",BBK01.OXA7E1,BBK01.OXA7E1_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from other domestic sectors during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:51,
2009-12,0.227,
2010-01,0.435,
2010-02,-0.347,
2010-03,-0.122,
2010-04,-0.071,
2010-05,-0.230,
2010-06,-0.088,
2010-07,-0.117,
2010-08,-0.186,
2010-09,-0.059,
2010-10,-0.645,
2010-11,0.106,
2010-12,-0.054,
2011-01,-0.265,
2011-02,0.290,
2011-03,-0.248,
2011-04,0.114,
2011-05,0.076,
2011-06,-0.213,
2011-07,-0.173,
2011-08,0.018,
2011-09,-0.677,
2011-10,-0.476,
2011-11,-0.592,
2011-12,-0.549,
2012-01,-0.098,
2012-02,-0.072,
2012-03,0.055,
2012-04,-0.022,
2012-05,-0.261,
2012-06,-0.071,
2012-07,0.071,
2012-08,0.340,
2012-09,-0.180,
2012-10,0.154,
2012-11,0.174,
2012-12,-0.173,
2013-01,-0.747,
2013-02,-0.034,
2013-03,0.307,
2013-04,-0.287,
2013-05,-0.142,
2013-06,0.024,
2013-07,-0.216,
2013-08,-0.272,
2013-09,0.380,
2013-10,-0.216,
2013-11,0.183,
2013-12,0.445,
2014-01,0.404,
2014-02,0.024,
2014-03,-0.106,
2014-04,-0.103,
2014-05,0.093,
2014-06,0.029,
2014-07,0.028,
2014-08,-0.086,
2014-09,-0.112,
2014-10,-0.026,
2014-11,0.603,
2014-12,0.629,Provisional value
