"",BBK01.CEBU0N,BBK01.CEBU0N_FLAGS
"",short-term savings deposits  debtor: All sectors                    creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:45,
1991-01,3.5,
1991-04,3.6,
1991-07,3.7,
1991-10,3.9,
1992-01,4.0,
1992-04,4.1,
1992-07,4.4,
1992-10,5.2,
1993-01,5.7,
1993-04,5.9,
1993-07,5.8,
1993-10,5.9,
1994-01,6.0,
1994-04,6.1,
1994-07,6.1,
1994-10,6.2,
1995-01,6.3,
1995-04,6.5,
1995-07,6.7,
1995-10,7.1,
1996-01,7.6,
1996-04,7.8,
1996-07,8.0,
1996-10,8.3,
1997-01,8.5,
1997-04,8.5,
1997-07,8.6,
1997-10,8.7,
1998-01,8.8,
1998-04,8.7,
1998-07,8.7,
1998-10,8.9,
1999-01,8.9,
1999-04,9.0,
1999-07,9.0,
1999-10,9.1,
2000-01,9.0,
2000-04,8.7,
2000-07,8.4,
2000-10,8.3,
2001-01,8.3,
2001-04,8.4,
2001-07,8.5,
2001-10,8.8,
2002-01,8.7,
2002-04,8.1,
2002-07,8.0,
2002-10,8.1,
2003-01,8.2,
2003-04,8.2,
2003-07,8.2,
2003-10,7.9,
2004-01,7.9,
2004-04,7.8,
2004-07,7.9,
2004-10,7.7,
2005-01,7.6,
2005-04,7.0,
2005-07,6.9,
2005-10,6.8,
2006-01,6.8,
2006-04,6.7,
2006-07,6.6,
2006-10,6.4,
2007-01,6.4,
2007-04,6.3,
2007-07,6.2,
2007-10,6.1,
2008-01,6.2,
2008-04,6.2,
2008-07,6.1,
2008-10,6.3,
2009-01,6.6,
2009-04,6.7,
2009-07,6.9,
2009-10,7.0,
2010-01,7.2,
2010-04,7.4,
2010-07,7.5,
2010-10,7.7,
2011-01,7.8,
2011-04,7.8,
2011-07,7.6,
2011-10,7.8,
2012-01,8.0,
2012-04,8.1,
2012-07,8.2,
2012-10,8.1,
2013-01,8.0,
2013-04,8.0,
2013-07,7.9,
2013-10,7.9,
2014-01,7.7,
