"",BBK01.WXI000,BBK01.WXI000_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:38:13,
2009-09,145408,
2009-10,145056,
2009-11,146855,
2009-12,147832,
2010-01,149045,
2010-02,149375,
2010-03,149815,
2010-04,151768,
2010-05,154297,
2010-06,153470,
2010-07,152100,
2010-08,154679,
2010-09,154918,
2010-10,153385,
2010-11,155414,
2010-12,152708,
2011-01,153995,
2011-02,152916,
2011-03,152497,
2011-04,153582,
2011-05,152678,
2011-06,151220,
2011-07,151614,
2011-08,154211,
2011-09,154283,
2011-10,155143,
2011-11,156959,
2011-12,154930,
2012-01,156061,
2012-02,156037,
2012-03,154080,
2012-04,153135,
2012-05,157193,
2012-06,157152,
2012-07,156655,
2012-08,157906,
2012-09,156239,
2012-10,156094,
2012-11,158353,
2012-12,159869,
2013-01,162115,
2013-02,159327,
2013-03,158278,
2013-04,161879,
2013-05,163868,
2013-06,159645,
2013-07,158829,
2013-08,158173,
2013-09,158258,
2013-10,158672,
2013-11,161125,
2013-12,160745,
2014-01,160689,
2014-02,162417,
2014-03,162230,
2014-04,163057,
2014-05,163839,
2014-06,163835,
2014-07,165411,
2014-08,168851,
2014-09,169517,
2014-10,169869,
2014-11,173855,
