"",BBK01.OECB19S,BBK01.OECB19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:56,
2002-01,0.034,
2002-04,0.032,
2002-07,0.029,
2002-10,0.029,
2003-01,0.028,
2003-04,0.028,
2003-07,0.027,
2003-10,0.025,
2004-01,0.024,
2004-04,0.024,
2004-07,0.022,
2004-10,0.021,
2005-01,0.034,
2005-04,0.035,
2005-07,0.035,
2005-10,0.034,
2006-01,0.036,
2006-04,0.033,
2006-07,0.034,
2006-10,0.034,
2007-01,0.035,
2007-04,0.033,
2007-07,0.036,
2007-10,0.035,
2008-01,0.035,
2008-04,0.035,
2008-07,0.040,
2008-10,0.040,
2009-01,0.038,
2009-04,0.037,
2009-07,0.038,
2009-10,0.038,
2010-01,0.042,
2010-04,0.045,
2010-07,0.054,
2010-10,0.051,
2011-01,0.052,
2011-04,0.055,
2011-07,0.060,
2011-10,0.066,
2012-01,0.070,
2012-04,0.071,
2012-07,0.071,
2012-10,0.070,
2013-01,0.070,
2013-04,0.067,
2013-07,0.061,
2013-10,0.056,
2014-01,0.056,
2014-04,0.053,
2014-07,0.052,
