"",BBK01.OEAD07R,BBK01.OEAD07R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:32,
2002-01,0.089,
2002-04,0.087,
2002-07,0.075,
2002-10,0.078,
2003-01,0.062,
2003-04,0.081,
2003-07,0.082,
2003-10,0.100,
2004-01,0.101,
2004-04,0.116,
2004-07,0.119,
2004-10,0.118,
2005-01,0.115,
2005-04,0.115,
2005-07,0.111,
2005-10,0.110,
2006-01,0.117,
2006-04,0.117,
2006-07,0.101,
2006-10,0.101,
2007-01,0.090,
2007-04,0.093,
2007-07,0.085,
2007-10,0.085,
2008-01,0.082,
2008-04,0.080,
2008-07,0.078,
2008-10,0.094,
2009-01,0.084,
2009-04,0.045,
2009-07,0.044,
2009-10,0.043,
2010-01,0.041,
2010-04,0.041,
2010-07,0.041,
2010-10,0.042,
2011-01,0.044,
2011-04,0.042,
2011-07,0.042,
2011-10,0.041,
2012-01,0.045,
2012-04,0.050,
2012-07,0.052,
2012-10,0.053,
2013-01,0.051,
2013-04,0.047,
2013-07,0.044,
2013-10,0.038,
2014-01,0.041,
2014-04,0.041,
2014-07,0.040,
