"",BBK01.OUP374,BBK01.OUP374_FLAGS
"",Securities (excluding money market paper) issued by foreign enterprises and households / Foreign banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 09:00:35,
1999-01,1.341,
1999-02,0.161,
1999-03,-0.157,
1999-04,-0.220,
1999-05,0.246,
1999-06,-0.064,
1999-07,0.251,
1999-08,0.304,
1999-09,0.510,
1999-10,0.364,
1999-11,0.405,
1999-12,-0.195,
2000-01,-0.070,
2000-02,-0.188,
2000-03,-0.217,
2000-04,-0.045,
2000-05,0.118,
2000-06,1.667,
2000-07,1.983,
2000-08,2.389,
2000-09,2.503,
2000-10,2.672,
2000-11,2.933,
2000-12,2.969,
2001-01,2.813,
2001-02,3.166,
2001-03,3.103,
2001-04,3.196,
2001-05,3.629,
2001-06,3.402,
2001-07,3.364,
2001-08,3.477,
2001-09,4.036,
2001-10,3.843,
2001-11,4.106,
2001-12,4.108,
2002-01,3.708,
2002-02,3.686,
2002-03,2.468,
2002-04,2.277,
2002-05,3.150,
2002-06,4.729,
2002-07,4.711,
2002-08,4.335,
2002-09,4.443,
2002-10,4.774,
2002-11,4.370,
2002-12,4.111,
2003-01,3.989,
2003-02,3.914,
2003-03,4.368,
2003-04,4.100,
2003-05,4.141,
2003-06,3.950,
2003-07,3.670,
2003-08,3.597,
2003-09,3.469,
2003-10,4.010,
2003-11,3.995,
2003-12,3.752,
2004-01,4.667,
2004-02,4.221,
2004-03,5.069,
2004-04,4.888,
2004-05,4.822,
2004-06,6.247,
2004-07,9.775,
2004-08,9.788,
2004-09,9.092,
2004-10,9.729,
2004-11,10.416,
2004-12,10.417,
2005-01,10.778,
2005-02,11.874,
2005-03,11.900,
2005-04,11.576,
2005-05,11.933,
2005-06,12.422,
2005-07,11.677,
2005-08,12.076,
2005-09,12.791,
2005-10,12.916,
2005-11,13.010,
2005-12,26.084,
2006-01,25.008,
2006-02,26.377,
2006-03,26.882,
2006-04,27.397,
2006-05,26.399,
2006-06,27.573,
2006-07,27.832,
2006-08,29.455,
2006-09,31.134,
2006-10,30.708,
2006-11,33.454,
2006-12,34.494,
2007-01,33.415,
2007-02,34.269,
2007-03,37.610,
2007-04,39.361,
2007-05,37.910,
2007-06,41.026,
2007-07,40.448,
2007-08,41.095,
2007-09,41.999,
2007-10,36.954,
2007-11,37.298,
2007-12,38.323,
2008-01,36.706,
2008-02,37.345,
2008-03,32.355,
2008-04,30.923,
2008-05,32.809,
2008-06,31.123,
2008-07,30.806,
2008-08,31.395,
2008-09,30.974,
2008-10,29.007,
2008-11,29.324,
2008-12,27.056,
2009-01,26.465,
2009-02,27.220,
2009-03,26.307,
2009-04,26.494,
2009-05,26.661,
2009-06,26.522,
2009-07,25.246,
2009-08,24.112,
2009-09,25.074,
2009-10,24.002,
2009-11,24.494,
2009-12,23.475,
2010-01,23.183,
2010-02,23.549,
2010-03,22.271,
2010-04,23.233,
2010-05,23.506,
2010-06,23.109,
2010-07,23.869,
2010-08,23.220,
2010-09,22.782,
2010-10,22.891,
2010-11,24.481,
2010-12,24.116,
2011-01,23.802,
2011-02,25.574,
2011-03,24.801,
2011-04,25.898,
2011-05,26.433,
2011-06,26.053,
2011-07,25.564,
2011-08,24.249,
2011-09,22.775,
2011-10,23.245,
2011-11,23.982,
2011-12,25.930,
2012-01,26.460,
2012-02,27.117,
2012-03,26.241,
2012-04,28.222,
2012-05,27.115,
2012-06,26.684,
2012-07,27.774,
2012-08,28.288,
2012-09,29.043,
2012-10,29.530,
2012-11,28.845,
2012-12,28.270,
2013-01,28.808,
2013-02,27.580,
2013-03,30.253,
2013-04,29.845,
2013-05,30.444,
2013-06,31.330,
2013-07,31.540,
2013-08,30.418,
2013-09,28.814,
2013-10,29.708,
2013-11,30.693,
2013-12,30.991,
2014-01,30.799,
2014-02,29.331,
2014-03,29.493,
2014-04,28.956,
2014-05,28.984,
2014-06,29.365,
2014-07,29.583,
2014-08,29.547,
2014-09,30.556,
2014-10,30.681,
2014-11,31.902,
2014-12,32.966,Provisional value
