"",BBK01.OEAA48M,BBK01.OEAA48M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:57,
2002-01,0.945,
2002-04,0.962,
2002-07,0.941,
2002-10,0.955,
2003-01,0.950,
2003-04,0.956,
2003-07,0.923,
2003-10,0.934,
2004-01,0.634,
2004-04,0.650,
2004-07,0.651,
2004-10,0.125,
2005-01,0.122,
2005-04,0.115,
2005-07,0.110,
2005-10,0.097,
2006-01,0.097,
2006-04,0.196,
2006-07,0.554,
2006-10,0.577,
2007-01,0.611,
2007-04,0.650,
2007-07,0.703,
2007-10,0.842,
2008-01,0.054,
2008-04,0.051,
2008-07,0.052,
2008-10,0.048,
2009-01,0.047,
2009-04,0.045,
2009-07,0.039,
2009-10,0.037,
2010-01,0.035,
2010-04,0.034,
2010-07,0.034,
2010-10,0.031,
2011-01,0.029,
2011-04,0.027,
2011-07,0.027,
2011-10,0.026,
2012-01,0.016,
2012-04,0.015,
2012-07,0.014,
2012-10,0.012,
2013-01,0.013,
2013-04,0.012,
2013-07,0.011,
2013-10,0.009,
2014-01,0.010,
2014-04,0.009,
2014-07,0.009,
