"",BBK01.CEHK02,BBK01.CEHK02_FLAGS
"",Other equity debtor: All sectors                    creditor: Domestic financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:18:11,
1991-01,3.2,
1991-04,0.3,
1991-07,0.6,
1991-10,1.6,
1992-01,1.8,
1992-04,0.7,
1992-07,1.9,
1992-10,2.8,
1993-01,3.6,
1993-04,1.4,
1993-07,1.4,
1993-10,2.6,
1994-01,3.5,
1994-04,2.0,
1994-07,2.0,
1994-10,1.0,
1995-01,6.8,
1995-04,1.6,
1995-07,1.5,
1995-10,3.8,
1996-01,3.3,
1996-04,2.0,
1996-07,2.6,
1996-10,3.6,
1997-01,2.9,
1997-04,1.8,
1997-07,3.0,
1997-10,4.1,
1998-01,3.8,
1998-04,3.5,
1998-07,1.5,
1998-10,8.9,
1999-01,0.7,
1999-04,4.2,
1999-07,8.1,
1999-10,9.7,
2000-01,3.0,
2000-04,5.8,
2000-07,6.4,
2000-10,7.1,
2001-01,4.1,
2001-04,4.4,
2001-07,2.3,
2001-10,24.5,
2002-01,11.6,
2002-04,9.5,
2002-07,18.5,
2002-10,13.5,
2003-01,-5.6,
2003-04,10.5,
2003-07,-0.6,
2003-10,3.8,
2004-01,1.4,
2004-04,1.4,
2004-07,2.3,
2004-10,-0.5,
2005-01,1.7,
2005-04,7.5,
2005-07,-0.2,
2005-10,20.8,
2006-01,0.5,
2006-04,2.1,
2006-07,-2.7,
2006-10,3.6,
2007-01,8.4,
2007-04,3.2,
2007-07,10.7,
2007-10,9.8,
2008-01,8.0,
2008-04,4.7,
2008-07,14.1,
2008-10,15.2,
2009-01,1.2,
2009-04,-6.1,
2009-07,8.2,
2009-10,-7.5,
2010-01,-0.7,
2010-04,-6.5,
2010-07,2.6,
2010-10,2.5,
2011-01,5.7,
2011-04,-6.9,
2011-07,4.9,
2011-10,-9.8,
2012-01,2.5,
2012-04,-1.2,
2012-07,0.5,
2012-10,15.5,
2013-01,-1.7,
2013-04,-1.5,
2013-07,-6.5,
2013-10,-6.9,
2014-01,3.4,
