"",BBK01.OEXJ04M,BBK01.OEXJ04M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:43,
2002-01,0.652,
2002-04,0.632,
2002-07,0.789,
2002-10,0.900,
2003-01,0.898,
2003-04,0.913,
2003-07,0.917,
2003-10,0.845,
2004-01,0.807,
2004-04,0.718,
2004-07,0.755,
2004-10,0.806,
2005-01,0.656,
2005-04,0.826,
2005-07,0.837,
2005-10,0.972,
2006-01,1.026,
2006-04,1.080,
2006-07,0.892,
2006-10,0.917,
2007-01,0.939,
2007-04,0.952,
2007-07,1.133,
2007-10,1.004,
2008-01,1.142,
2008-04,1.197,
2008-07,1.356,
2008-10,1.317,
2009-01,1.220,
2009-04,1.029,
2009-07,0.967,
2009-10,0.889,
2010-01,0.799,
2010-04,1.073,
2010-07,0.720,
2010-10,1.601,
2011-01,1.699,
2011-04,1.586,
2011-07,1.718,
2011-10,1.945,
2012-01,1.954,
2012-04,2.392,
2012-07,2.731,
2012-10,3.134,
2013-01,2.754,
2013-04,2.559,
2013-07,2.130,
2013-10,2.331,
2014-01,2.608,
2014-04,3.339,
2014-07,2.577,
