"",BBK01.OELJ03M,BBK01.OELJ03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:33,
2002-01,1.032,
2002-04,1.124,
2002-07,1.086,
2002-10,1.099,
2003-01,1.035,
2003-04,1.013,
2003-07,1.051,
2003-10,1.142,
2004-01,1.058,
2004-04,1.075,
2004-07,1.137,
2004-10,1.100,
2005-01,1.045,
2005-04,1.039,
2005-07,1.077,
2005-10,1.250,
2006-01,1.199,
2006-04,1.129,
2006-07,1.185,
2006-10,1.149,
2007-01,1.231,
2007-04,1.290,
2007-07,1.226,
2007-10,1.189,
2008-01,1.289,
2008-04,1.310,
2008-07,1.622,
2008-10,1.500,
2009-01,1.666,
2009-04,1.510,
2009-07,1.364,
2009-10,1.456,
2010-01,1.335,
2010-04,1.144,
2010-07,1.234,
2010-10,1.182,
2011-01,1.247,
2011-04,1.300,
2011-07,1.224,
2011-10,1.440,
2012-01,1.351,
2012-04,1.283,
2012-07,1.306,
2012-10,1.245,
2013-01,1.148,
2013-04,1.156,
2013-07,1.147,
2013-10,1.025,
2014-01,1.126,
2014-04,1.060,
2014-07,1.051,
