"",BBK01.OELL01K,BBK01.OELL01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:39,
2002-01,2.957,
2002-04,2.951,
2002-07,2.919,
2002-10,3.012,
2003-01,3.194,
2003-04,3.237,
2003-07,3.278,
2003-10,3.471,
2004-01,3.580,
2004-04,3.636,
2004-07,3.681,
2004-10,3.951,
2005-01,3.981,
2005-04,3.989,
2005-07,4.029,
2005-10,4.151,
2006-01,4.147,
2006-04,4.173,
2006-07,4.215,
2006-10,4.289,
2007-01,4.276,
2007-04,4.238,
2007-07,4.155,
2007-10,3.865,
2008-01,3.864,
2008-04,3.853,
2008-07,3.708,
2008-10,3.844,
2009-01,3.781,
2009-04,3.823,
2009-07,3.855,
2009-10,3.960,
2010-01,4.079,
2010-04,4.246,
2010-07,4.364,
2010-10,4.570,
2011-01,4.637,
2011-04,4.705,
2011-07,4.657,
2011-10,4.638,
2012-01,4.537,
2012-04,4.540,
2012-07,4.522,
2012-10,4.613,
2013-01,4.668,
2013-04,4.719,
2013-07,4.725,
2013-10,4.818,
2014-01,5.157,
2014-04,5.240,
2014-07,5.270,
