"",BBK01.OECM03G,BBK01.OECM03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:40:34,
2002-01,0.638,
2002-04,1.072,
2002-07,0.939,
2002-10,0.879,
2003-01,1.055,
2003-04,1.120,
2003-07,0.805,
2003-10,0.458,
2004-01,0.651,
2004-04,1.046,
2004-07,0.960,
2004-10,0.573,
2005-01,0.604,
2005-04,0.518,
2005-07,0.684,
2005-10,0.551,
2006-01,0.384,
2006-04,0.426,
2006-07,0.287,
2006-10,0.397,
2007-01,0.591,
2007-04,1.051,
2007-07,0.833,
2007-10,0.570,
2008-01,0.488,
2008-04,0.826,
2008-07,0.856,
2008-10,0.852,
2009-01,0.641,
2009-04,0.947,
2009-07,0.754,
2009-10,0.520,
2010-01,0.484,
2010-04,0.575,
2010-07,0.803,
2010-10,0.429,
2011-01,0.399,
2011-04,0.578,
2011-07,0.631,
2011-10,0.696,
2012-01,1.058,
2012-04,1.590,
2012-07,1.586,
2012-10,1.554,
2013-01,1.565,
2013-04,1.714,
2013-07,1.478,
2013-10,1.528,
2014-01,1.394,
2014-04,1.293,
2014-07,1.472,
