"",BBK01.OEHK03J,BBK01.OEHK03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:37,
2002-01,0.059,
2002-04,0.053,
2002-07,0.053,
2002-10,0.053,
2003-01,0.047,
2003-04,0.043,
2003-07,0.049,
2003-10,0.044,
2004-01,0.042,
2004-04,0.042,
2004-07,0.042,
2004-10,0.033,
2005-01,0.034,
2005-04,0.036,
2005-07,0.028,
2005-10,0.014,
2006-01,0.013,
2006-04,0.022,
2006-07,0.021,
2006-10,0.020,
2007-01,0.019,
2007-04,0.019,
2007-07,0.016,
2007-10,0.019,
2008-01,0.030,
2008-04,0.050,
2008-07,0.063,
2008-10,0.062,
2009-01,0.041,
2009-04,0.034,
2009-07,0.019,
2009-10,0.011,
2010-01,0.007,
2010-04,0.006,
2010-07,0.006,
2010-10,0.007,
2011-01,0.006,
2011-04,0.005,
2011-07,0.006,
2011-10,0.007,
2012-01,0.006,
2012-04,0.004,
2012-07,0.005,
2012-10,0.004,
2013-01,0.003,
2013-04,0.003,
2013-07,0.003,
2013-10,0.005,
2014-01,0.004,
2014-04,0.003,
2014-07,0.003,
