"",BBK01.OEAA49R,BBK01.OEAA49R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:51,
2002-01,0.034,
2002-04,0.067,
2002-07,0.069,
2002-10,0.067,
2003-01,0.060,
2003-04,0.063,
2003-07,0.063,
2003-10,0.062,
2004-01,0.063,
2004-04,0.050,
2004-07,0.023,
2004-10,0.022,
2005-01,0.021,
2005-04,0.022,
2005-07,0.021,
2005-10,0.019,
2006-01,0.013,
2006-04,0.013,
2006-07,0.013,
2006-10,0.018,
2007-01,0.018,
2007-04,0.019,
2007-07,0.020,
2007-10,0.024,
2008-01,10.880,
2008-04,0.022,
2008-07,0.077,
2008-10,0.078,
2009-01,0.078,
2009-04,0.080,
2009-07,0.081,
2009-10,0.080,
2010-01,0.055,
2010-04,0.056,
2010-07,0.058,
2010-10,0.056,
2011-01,0.057,
2011-04,0.059,
2011-07,0.059,
2011-10,0.064,
2012-01,0.065,
2012-04,0.073,
2012-07,0.074,
2012-10,0.078,
2013-01,0.081,
2013-04,0.084,
2013-07,0.082,
2013-10,0.087,
2014-01,0.086,
2014-04,0.089,
2014-07,0.088,
