"",BBK01.OELJ07O,BBK01.OELJ07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:00,
2002-01,0.106,
2002-04,0.106,
2002-07,0.111,
2002-10,0.112,
2003-01,0.114,
2003-04,0.115,
2003-07,0.117,
2003-10,0.114,
2004-01,0.124,
2004-04,0.123,
2004-07,0.125,
2004-10,0.126,
2005-01,0.129,
2005-04,0.111,
2005-07,0.109,
2005-10,0.106,
2006-01,0.104,
2006-04,0.105,
2006-07,0.104,
2006-10,0.105,
2007-01,0.105,
2007-04,0.106,
2007-07,0.101,
2007-10,0.096,
2008-01,0.094,
2008-04,0.093,
2008-07,0.091,
2008-10,0.086,
2009-01,0.082,
2009-04,0.096,
2009-07,0.112,
2009-10,0.121,
2010-01,0.130,
2010-04,0.140,
2010-07,0.149,
2010-10,0.137,
2011-01,0.135,
2011-04,0.136,
2011-07,0.129,
2011-10,0.121,
2012-01,0.131,
2012-04,0.141,
2012-07,0.157,
2012-10,0.149,
2013-01,0.156,
2013-04,0.159,
2013-07,0.176,
2013-10,0.181,
2014-01,0.186,
2014-04,0.188,
2014-07,0.183,
