"",BBK01.OEAE33L,BBK01.OEAE33L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:16,
2002-01,6.848,
2002-04,6.754,
2002-07,6.849,
2002-10,7.183,
2003-01,7.768,
2003-04,7.700,
2003-07,7.906,
2003-10,7.796,
2004-01,7.753,
2004-04,7.629,
2004-07,7.630,
2004-10,7.653,
2005-01,7.660,
2005-04,7.534,
2005-07,7.394,
2005-10,7.340,
2006-01,7.393,
2006-04,7.134,
2006-07,7.093,
2006-10,7.336,
2007-01,7.143,
2007-04,7.250,
2007-07,7.509,
2007-10,7.680,
2008-01,7.652,
2008-04,7.505,
2008-07,7.653,
2008-10,7.918,
2009-01,8.573,
2009-04,8.672,
2009-07,8.744,
2009-10,8.591,
2010-01,8.679,
2010-04,8.745,
2010-07,8.565,
2010-10,8.679,
2011-01,8.665,
2011-04,8.767,
2011-07,8.815,
2011-10,8.760,
2012-01,8.658,
2012-04,8.752,
2012-07,8.631,
2012-10,8.808,
2013-01,8.690,
2013-04,8.801,
2013-07,8.983,
2013-10,8.932,
2014-01,8.872,
2014-04,8.873,
2014-07,9.082,
