"",BBDA1.M.DE.Y.IM.S.GP09IS04.W1.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.GP09IS04.W1.A.V.ABA.A_FLAGS
"","German foreign trade: imports / At current prices, flows / Consumer goods / Rest of the World / Calendar and seasonally adjusted",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:37,
2008-01,12.97,
2008-02,13.37,
2008-03,13.27,
2008-04,13.37,
2008-05,13.21,
2008-06,13.00,
2008-07,13.37,
2008-08,12.92,
2008-09,13.51,
2008-10,13.67,
2008-11,13.90,
2008-12,13.97,
2009-01,12.38,
2009-02,12.35,
2009-03,11.58,
2009-04,12.17,
2009-05,11.36,
2009-06,11.50,
2009-07,11.83,
2009-08,11.62,
2009-09,11.91,
2009-10,11.46,
2009-11,11.87,
2009-12,11.95,
2010-01,12.45,
2010-02,11.84,
2010-03,12.57,
2010-04,12.44,
2010-05,13.04,
2010-06,12.95,
2010-07,12.85,
2010-08,13.15,
2010-09,12.53,
2010-10,13.08,
2010-11,13.35,
2010-12,13.21,
2011-01,13.31,
2011-02,13.22,
2011-03,13.56,
2011-04,13.60,
2011-05,13.78,
2011-06,14.29,
2011-07,13.99,
2011-08,14.77,
2011-09,14.05,
2011-10,14.17,
2011-11,14.07,
2011-12,13.92,
2012-01,13.35,
2012-02,13.66,
2012-03,13.68,
2012-04,13.43,
2012-05,14.40,
2012-06,14.08,
2012-07,14.07,
2012-08,14.17,
2012-09,14.62,
2012-10,14.46,
2012-11,14.13,
2012-12,14.02,
2013-01,14.32,
2013-02,14.27,
2013-03,14.29,
2013-04,14.68,
2013-05,14.62,
2013-06,14.31,
2013-07,14.70,
2013-08,14.48,
2013-09,14.95,
2013-10,14.72,
2013-11,14.62,
2013-12,15.18,
2014-01,15.50,
2014-02,15.65,
2014-03,15.79,
2014-04,15.87,
2014-05,15.39,
2014-06,16.23,
2014-07,15.74,
2014-08,15.88,
2014-09,16.01,
2014-10,16.16,
2014-11,16.53,
2014-12,16.56,
