"",BBSF2.M.1.S.00000.SON01.I.F.WPS.Z5.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.WPS.Z5.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Securities total,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:17,
2009-09,1153,
2009-10,1420,
2009-11,2896,
2009-12,3324,
2010-01,3845,
2010-02,3890,
2010-03,4185,
2010-04,4172,
2010-05,4397,
2010-06,4441,
2010-07,4828,
2010-08,4978,
2010-09,4796,
2010-10,5072,
2010-11,5023,
2010-12,5002,
2011-01,4977,
2011-02,5082,
2011-03,4942,
2011-04,5151,
2011-05,5064,
2011-06,5190,
2011-07,5376,
2011-08,6236,
2011-09,6252,
2011-10,9015,
2011-11,12243,
2011-12,12595,
2012-01,12970,
2012-02,13187,
2012-03,13001,
2012-04,12651,
2012-05,12289,
2012-06,12132,
2012-07,12436,
2012-08,12802,
2012-09,13012,
2012-10,13085,
2012-11,13693,
2012-12,14001,
2013-01,14266,
2013-02,14565,
2013-03,14888,
2013-04,15907,
2013-05,17097,
2013-06,16755,
2013-07,17242,
2013-08,17055,
2013-09,17612,
2013-10,17759,
2013-11,17943,
2013-12,18360,
2014-01,18271,
2014-02,19050,
2014-03,19133,
2014-04,19270,
2014-05,19803,
2014-06,20146,
2014-07,20622,
2014-08,25770,
2014-09,25753,
2014-10,25981,
2014-11,26979,
