"",BBK01.CEHK0I,BBK01.CEHK0I_FLAGS
"",Other equity debtor: All sectors                    creditor: Households and non-profit institutions serving households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:21:54,
1991-01,1.1,
1991-04,1.1,
1991-07,1.1,
1991-10,1.2,
1992-01,1.0,
1992-04,1.0,
1992-07,1.0,
1992-10,1.1,
1993-01,1.0,
1993-04,1.1,
1993-07,1.1,
1993-10,1.1,
1994-01,1.3,
1994-04,1.5,
1994-07,1.3,
1994-10,1.3,
1995-01,1.1,
1995-04,1.1,
1995-07,1.1,
1995-10,1.1,
1996-01,1.0,
1996-04,1.1,
1996-07,1.0,
1996-10,1.0,
1997-01,0.8,
1997-04,0.8,
1997-07,0.8,
1997-10,0.9,
1998-01,1.0,
1998-04,1.2,
1998-07,1.2,
1998-10,1.1,
1999-01,1.5,
1999-04,1.5,
1999-07,1.8,
1999-10,1.2,
2000-01,0.9,
2000-04,1.2,
2000-07,0.8,
2000-10,1.1,
2001-01,0.9,
2001-04,0.9,
2001-07,0.8,
2001-10,0.8,
2002-01,0.9,
2002-04,0.7,
2002-07,0.8,
2002-10,0.8,
2003-01,0.9,
2003-04,0.7,
2003-07,0.7,
2003-10,0.8,
2004-01,0.9,
2004-04,0.7,
2004-07,0.8,
2004-10,0.7,
2005-01,0.7,
2005-04,0.8,
2005-07,0.7,
2005-10,0.7,
2006-01,0.7,
2006-04,0.8,
2006-07,0.7,
2006-10,0.8,
2007-01,0.8,
2007-04,0.7,
2007-07,0.8,
2007-10,0.7,
2008-01,0.8,
2008-04,0.7,
2008-07,0.8,
2008-10,0.8,
2009-01,0.7,
2009-04,0.8,
2009-07,0.8,
2009-10,0.8,
2010-01,0.7,
2010-04,0.7,
2010-07,0.7,
2010-10,0.8,
2011-01,0.7,
2011-04,0.7,
2011-07,0.8,
2011-10,0.7,
2012-01,0.8,
2012-04,0.7,
2012-07,0.8,
2012-10,0.8,
2013-01,0.8,
2013-04,0.8,
2013-07,0.8,
2013-10,0.6,
2014-01,0.6,
