"",BBEX3.M.KHR.USD.CA.AB.A01,BBEX3.M.KHR.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Cambodia / USD 1 = KHR ... (selling),
unit,KHR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:29,
1985-12,30.30,
1986-01,30.30,
1986-02,30.30,
1986-03,30.30,
1986-04,30.30,
1986-05,30.30,
1986-06,30.30,
1986-07,30.30,
1986-08,30.30,
1986-09,30.30,
1986-10,30.30,
1986-11,30.30,
1986-12,30.30,
1987-01,30.30,
1987-02,30.30,
1987-03,30.30,
1987-04,30.30,
1987-05,30.30,
1987-06,30.30,
1987-07,30.30,
1987-08,30.30,
1987-09,101.00,comment
1987-10,101.00,
1987-11,101.00,
1987-12,101.00,
1988-01,101.00,
1988-02,101.00,
1988-03,101.00,
1988-04,101.00,
1988-05,101.00,
1988-06,101.00,
1988-07,101.00,
1988-08,101.00,
1988-09,101.00,
1988-10,145.00,comment
1988-11,145.00,
1988-12,153.00,
1989-01,153.00,
1989-02,153.00,
1989-03,153.00,
1989-04,153.00,
1989-05,153.00,
1989-06,153.00,
1989-07,193.80,
1989-08,193.80,
1989-09,193.80,
1989-10,220.39,
1989-11,220.39,
1989-12,220.39,
1990-01,367.20,
1990-02,367.20,
1990-03,367.20,
1990-04,387.60,
1990-05,387.60,
1990-06,387.60,
1990-07,387.60,
1990-08,520.02,comment
1990-09,520.02,
1990-10,612.00,comment
1990-11,612.00,
1990-12,612.00,
1991-01,612.00,
1991-02,612.00,
1991-03,612.00,
1991-04,612.00,
1991-05,612.00,
1991-06,612.00,
1991-07,816.00,comment
1991-08,816.00,
1991-09,1020.00,comment
1991-10,1020.00,
1991-11,816.00,
1991-12,530.40,
1992-01,754.80,
1992-02,754.80,
1992-03,897.60,
1992-04,867.00,
1992-05,1020.00,
1992-06,1020.00,
1992-07,1213.80,
1992-08,1458.60,
1992-09,1458.60,
1992-10,2040.00,
1992-11,2040.00,
1992-12,2040.00,
1993-01,2228.00,
1993-02,2422.00,
1993-03,2422.00,
1993-04,3876.00,
1993-05,4080.00,
1993-06,2754.00,
1993-07,2754.00,
1993-08,2625.48,
1993-09,2669.34,
1993-10,2687.70,
1993-11,2244.00,
1993-12,2437.80,
1994-01,2529.60,
