"",BBK01.SU0325G,BBK01.SU0325G_FLAGS
"",Money market rates / EURIBOR six-month funds / Moving monthly average,
unit,% p.a. (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 15:04:59,
1999-06,2.86,
1999-07,2.82,
1999-08,2.83,
1999-09,2.84,
1999-10,2.97,
1999-11,3.11,
1999-12,3.25,
2000-01,3.36,
2000-02,3.48,
2000-03,3.61,
2000-04,3.72,
2000-05,3.89,
2000-06,4.09,
2000-07,4.30,
2000-08,4.52,
2000-09,4.70,
2000-10,4.87,
2000-11,4.97,
2000-12,5.01,
2001-01,4.98,
2001-02,4.92,
2001-03,4.85,
2001-04,4.76,
2001-05,4.66,
2001-06,4.57,
2001-07,4.52,
2001-08,4.44,
2001-09,4.33,
2001-10,4.14,
2001-11,3.93,
2001-12,3.74,
2002-01,3.57,
2002-02,3.43,
2002-03,3.37,
2002-04,3.38,
2002-05,3.44,
2002-06,3.50,
2002-07,3.52,
2002-08,3.52,
2002-09,3.48,
2002-10,3.42,
2002-11,3.32,
2002-12,3.21,
2003-01,3.08,
2003-02,2.95,
2003-03,2.81,
2003-04,2.70,
2003-05,2.58,
2003-06,2.44,
2003-07,2.33,
2003-08,2.26,
2003-09,2.22,
2003-10,2.17,
2003-11,2.15,
2003-12,2.17,
2004-01,2.18,
2004-02,2.16,
2004-03,2.14,
2004-04,2.12,
2004-05,2.10,
2004-06,2.10,
2004-07,2.11,
2004-08,2.13,
2004-09,2.16,
2004-10,2.18,
2004-11,2.19,
2004-12,2.20,
2005-01,2.20,
2005-02,2.20,
2005-03,2.20,
2005-04,2.19,
2005-05,2.18,
2005-06,2.17,
2005-07,2.16,
2005-08,2.15,
2005-09,2.15,
2005-10,2.16,
2005-11,2.22,
2005-12,2.31,
2006-01,2.39,
2006-02,2.49,
2006-03,2.60,
2006-04,2.72,
2006-05,2.81,
2006-06,2.90,
2006-07,3.01,
2006-08,3.12,
2006-09,3.23,
2006-10,3.35,
2006-11,3.46,
2006-12,3.57,
2007-01,3.67,
2007-02,3.75,
2007-03,3.83,
2007-04,3.91,
2007-05,3.99,
2007-06,4.07,
2007-07,4.15,
2007-08,4.25,
2007-09,4.38,
2007-10,4.48,
2007-11,4.55,
2007-12,4.64,
2008-01,4.66,
2008-02,4.62,
2008-03,4.59,
2008-04,4.62,
2008-05,4.66,
2008-06,4.71,
2008-07,4.81,
2008-08,4.95,
2008-09,5.05,
2008-10,5.12,
2008-11,5.02,
2008-12,4.73,
2009-01,4.29,
2009-02,3.77,
2009-03,3.20,
2009-04,2.60,
2009-05,2.13,
2009-06,1.81,
2009-07,1.59,
2009-08,1.44,
2009-09,1.32,
2009-10,1.22,
2009-11,1.14,
2009-12,1.06,
2010-01,1.02,
2010-02,1.00,
2010-03,0.98,
2010-04,0.97,
2010-05,0.97,
2010-06,0.97,
2010-07,1.00,
2010-08,1.03,
2010-09,1.06,
2010-10,1.10,
2010-11,1.15,
2010-12,1.19,
2011-01,1.21,
2011-02,1.25,
2011-03,1.31,
2011-04,1.37,
2011-05,1.45,
2011-06,1.53,
2011-07,1.62,
2011-08,1.69,
2011-09,1.73,
2011-10,1.76,
2011-11,1.76,
2011-12,1.74,
2012-01,1.69,
2012-02,1.62,
2012-03,1.53,
2012-04,1.41,
2012-05,1.28,
2012-06,1.16,
2012-07,1.04,
2012-08,0.92,
2012-09,0.80,
2012-10,0.70,
2012-11,0.60,
2012-12,0.49,
2013-01,0.42,
2013-02,0.38,
2013-03,0.36,
2013-04,0.34,
2013-05,0.33,
2013-06,0.33,
2013-07,0.33,
2013-08,0.33,
2013-09,0.33,
2013-10,0.33,
2013-11,0.34,
2013-12,0.34,
2014-01,0.35,
2014-02,0.36,
2014-03,0.37,
2014-04,0.39,
2014-05,0.40,
2014-06,0.40,
2014-07,0.38,
2014-08,0.36,
2014-09,0.33,
2014-10,0.29,
2014-11,0.25,
2014-12,0.22,
2015-01,0.20,
"",General: Euro Interbank Offered Rate: unweighted average rate calculated by Reuters since 30 December 1998 according to the act/360 method. Moving average: Bundesbank calculations.Data become fee liable from 1 January 2014 and therefore will be published with the delay of one working day.,
