"",BBK01.OEYB07I,BBK01.OEYB07I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:39,
2002-01,1.932,
2002-04,1.931,
2002-07,1.632,
2002-10,1.668,
2003-01,1.895,
2003-04,2.045,
2003-07,2.359,
2003-10,2.143,
2004-01,2.273,
2004-04,2.230,
2004-07,2.278,
2004-10,2.311,
2005-01,2.250,
2005-04,2.364,
2005-07,2.135,
2005-10,2.332,
2006-01,2.479,
2006-04,2.529,
2006-07,3.155,
2006-10,2.978,
2007-01,2.782,
2007-04,3.775,
2007-07,3.469,
2007-10,2.884,
2008-01,3.148,
2008-04,3.522,
2008-07,3.741,
2008-10,4.183,
2009-01,4.142,
2009-04,6.239,
2009-07,8.541,
2009-10,8.677,
2010-01,8.851,
2010-04,8.674,
2010-07,7.441,
2010-10,7.866,
2011-01,10.391,
2011-04,9.877,
2011-07,8.949,
2011-10,9.292,
2012-01,9.270,
2012-04,9.226,
2012-07,8.576,
2012-10,8.970,
2013-01,8.569,
2013-04,8.624,
2013-07,7.547,
2013-10,7.524,
2014-01,8.055,
2014-04,7.834,
2014-07,7.964,
