"",BBK01.OEAE17G,BBK01.OEAE17G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:54,
2002-01,0.424,
2002-04,0.555,
2002-07,0.536,
2002-10,0.440,
2003-01,0.447,
2003-04,0.444,
2003-07,0.505,
2003-10,0.434,
2004-01,0.422,
2004-04,0.510,
2004-07,0.362,
2004-10,0.561,
2005-01,0.533,
2005-04,0.544,
2005-07,0.475,
2005-10,0.583,
2006-01,0.716,
2006-04,0.710,
2006-07,0.734,
2006-10,0.956,
2007-01,0.841,
2007-04,0.455,
2007-07,0.540,
2007-10,0.576,
2008-01,0.622,
2008-04,0.617,
2008-07,0.853,
2008-10,1.012,
2009-01,0.981,
2009-04,0.970,
2009-07,0.824,
2009-10,0.780,
2010-01,0.191,
2010-04,0.221,
2010-07,0.176,
2010-10,0.156,
2011-01,0.166,
2011-04,0.168,
2011-07,0.148,
2011-10,0.135,
2012-01,0.146,
2012-04,0.147,
2012-07,0.147,
2012-10,0.170,
2013-01,0.155,
2013-04,0.121,
2013-07,0.120,
2013-10,0.104,
2014-01,0.110,
2014-04,0.136,
2014-07,0.116,
