"",BBK01.OEAI09T,BBK01.OEAI09T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:02,
2002-01,2.522,
2002-04,2.477,
2002-07,2.467,
2002-10,2.471,
2003-01,2.330,
2003-04,2.172,
2003-07,2.052,
2003-10,2.179,
2004-01,2.111,
2004-04,2.071,
2004-07,2.075,
2004-10,2.125,
2005-01,2.131,
2005-04,2.071,
2005-07,1.965,
2005-10,1.998,
2006-01,2.002,
2006-04,1.997,
2006-07,2.004,
2006-10,2.146,
2007-01,2.254,
2007-04,2.269,
2007-07,2.330,
2007-10,2.486,
2008-01,2.522,
2008-04,2.451,
2008-07,2.453,
2008-10,2.824,
2009-01,2.628,
2009-04,2.524,
2009-07,2.342,
2009-10,2.323,
2010-01,2.118,
2010-04,1.970,
2010-07,1.886,
2010-10,1.894,
2011-01,1.883,
2011-04,1.859,
2011-07,1.905,
2011-10,1.930,
2012-01,1.893,
2012-04,1.826,
2012-07,1.755,
2012-10,1.707,
2013-01,1.611,
2013-04,1.521,
2013-07,1.474,
2013-10,1.423,
2014-01,1.408,
2014-04,1.377,
2014-07,1.387,
