"",BBK01.OEXI04H,BBK01.OEXI04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:47,
2002-01,6.156,
2002-04,6.009,
2002-07,6.325,
2002-10,6.045,
2003-01,5.416,
2003-04,5.185,
2003-07,4.516,
2003-10,5.146,
2004-01,4.115,
2004-04,3.822,
2004-07,3.983,
2004-10,4.389,
2005-01,4.079,
2005-04,3.996,
2005-07,4.532,
2005-10,5.571,
2006-01,4.850,
2006-04,4.737,
2006-07,5.360,
2006-10,6.756,
2007-01,6.970,
2007-04,7.194,
2007-07,8.068,
2007-10,8.764,
2008-01,8.704,
2008-04,9.247,
2008-07,9.986,
2008-10,11.093,
2009-01,10.577,
2009-04,9.687,
2009-07,8.349,
2009-10,6.973,
2010-01,4.988,
2010-04,4.944,
2010-07,5.436,
2010-10,5.535,
2011-01,5.095,
2011-04,6.148,
2011-07,10.364,
2011-10,9.256,
2012-01,8.242,
2012-04,7.626,
2012-07,6.634,
2012-10,8.118,
2013-01,7.849,
2013-04,6.596,
2013-07,7.138,
2013-10,8.849,
2014-01,10.289,
2014-04,9.906,
2014-07,10.677,
