"",BBK01.OEAF36H,BBK01.OEAF36H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:30,
2002-01,8.844,
2002-04,9.070,
2002-07,9.259,
2002-10,9.341,
2003-01,9.339,
2003-04,9.107,
2003-07,8.109,
2003-10,8.512,
2004-01,8.581,
2004-04,8.894,
2004-07,8.700,
2004-10,8.815,
2005-01,9.211,
2005-04,9.607,
2005-07,10.061,
2005-10,10.273,
2006-01,10.652,
2006-04,11.086,
2006-07,11.402,
2006-10,11.943,
2007-01,11.896,
2007-04,12.265,
2007-07,12.518,
2007-10,12.852,
2008-01,13.222,
2008-04,13.471,
2008-07,13.907,
2008-10,14.036,
2009-01,14.247,
2009-04,14.725,
2009-07,14.955,
2009-10,15.163,
2010-01,15.374,
2010-04,15.924,
2010-07,20.134,
2010-10,20.516,
2011-01,20.727,
2011-04,17.035,
2011-07,17.292,
2011-10,17.595,
2012-01,17.845,
2012-04,16.898,
2012-07,17.087,
2012-10,16.774,
2013-01,16.871,
2013-04,16.825,
2013-07,17.042,
2013-10,16.804,
2014-01,16.918,
2014-04,17.240,
2014-07,17.342,
