"",BBEX3.M.KRW.EUR.CA.AC.A01,BBEX3.M.KRW.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in the Republic of Korea / EUR 1 = KRW ... (middle),
unit,KRW (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:35,
1999-01,1340.430,
1999-02,1345.970,
1999-03,1314.400,
1999-04,1261.660,
1999-05,1239.270,
1999-06,1194.660,
1999-07,1289.480,
1999-08,1247.700,
1999-09,1293.380,
1999-10,1262.280,
1999-11,1170.300,
1999-12,1139.610,
2000-01,1100.540,
2000-02,1091.420,
2000-03,1059.810,
2000-04,1010.740,
2000-05,1049.780,
2000-06,1064.170,
2000-07,1031.500,
2000-08,992.270,
2000-09,979.860,
2000-10,957.330,
2000-11,1044.780,
2000-12,1174.550,
2001-01,1167.970,
2001-02,1150.490,
2001-03,1171.250,
2001-04,1176.780,
2001-05,1092.220,
2001-06,1098.330,
2001-07,1139.190,
2001-08,1173.070,
2001-09,1198.130,
2001-10,1175.560,
2001-11,1128.830,
2001-12,1169.000,
2002-01,1130.520,
2002-02,1144.560,
2002-03,1156.580,
2002-04,1168.340,
2002-05,1149.990,
2002-06,1191.330,
2002-07,1165.550,
2002-08,1183.840,
2002-09,1207.540,
2002-10,1205.620,
2002-11,1201.190,
2002-12,1242.060,
2003-01,1266.530,
2003-02,1283.050,
2003-03,1361.870,
2003-04,1351.050,
2003-05,1429.830,
2003-06,1366.340,
2003-07,1336.600,
2003-08,1284.050,
2003-09,1337.800,
2003-10,1375.770,
2003-11,1434.470,
2003-12,1501.240,
2004-01,1456.090,
2004-02,1463.900,
2004-03,1405.960,
2004-04,1402.560,
2004-05,1416.250,
2004-06,1394.690,
2004-07,1409.380,
2004-08,1393.050,
2004-09,1421.150,
2004-10,1428.950,
2004-11,1390.700,
2004-12,1412.150,
2005-01,1335.820,
2005-02,1335.260,
2005-03,1312.740,
2005-04,1290.650,
2005-05,1250.300,
2005-06,1240.430,
2005-07,1245.200,
2005-08,1269.650,
2005-09,1252.010,
2005-10,1254.380,
2005-11,1218.500,
2005-12,1194.050,
2006-01,1166.590,
2006-02,1151.580,
2006-03,1179.430,
2006-04,1182.740,
2006-05,1216.510,
2006-06,1205.480,
2006-07,1218.740,
2006-08,1234.370,
2006-09,1200.440,
2006-10,1198.790,
2006-11,1224.800,
2006-12,1224.080,
2007-01,1219.590,
2007-02,1244.120,
2007-03,1255.820,
2007-04,1266.630,
2007-05,1246.740,
2007-06,1242.600,
2007-07,1259.990,
2007-08,1282.470,
2007-09,1296.840,
2007-10,1300.590,
2007-11,1358.810,
2007-12,1374.230,
2008-01,1404.810,
2008-02,1428.590,
2008-03,1563.350,
2008-04,1564.760,
2008-05,1596.450,
2008-06,1653.200,
2008-07,1580.700,
2008-08,1609.390,
2008-09,1733.250,
2008-10,1650.150,
2008-11,1893.560,
2008-12,1847.760,
2009-01,1779.140,
2009-02,1936.950,
2009-03,1818.480,
2009-04,1723.700,
2009-05,1754.450,
2009-06,1795.170,
2009-07,1733.840,
2009-08,1784.540,
2009-09,1720.940,
2009-10,1754.920,
2009-11,1749.630,
2009-12,1671.050,
2010-01,1614.360,
2010-02,1573.340,
2010-03,1516.810,
2010-04,1472.090,
2010-05,1479.680,
2010-06,1489.010,
2010-07,1544.230,
2010-08,1519.070,
2010-09,1548.710,
2010-10,1554.860,
2010-11,1514.890,
2010-12,1494.080,
2011-01,1526.700,
2011-02,1556.080,
2011-03,1558.130,
2011-04,1587.470,
2011-05,1554.010,
2011-06,1546.490,
2011-07,1505.010,
2011-08,1539.300,
2011-09,1595.540,
2011-10,1549.910,
2011-11,1520.990,
2011-12,1497.200,
2012-01,1478.800,
2012-02,1502.470,
2012-03,1510.200,
2012-04,1493.340,
2012-05,1461.510,
2012-06,1440.230,
2012-07,1383.540,
2012-08,1421.700,
2012-09,1438.480,
2012-10,1416.350,
2012-11,1408.660,
2012-12,1401.670,
2013-01,1473.970,
2013-02,1424.580,
2013-03,1423.030,
2013-04,1444.000,
2013-05,1472.900,
2013-06,1492.480,
2013-07,1489.310,
2013-08,1469.750,
2013-09,1449.990,
2013-10,1453.160,
2013-11,1440.630,
2013-12,1446.300,
2014-01,1461.850,
2014-02,1461.910,
2014-03,1464.600,
2014-04,1426.020,
2014-05,1387.640,
2014-06,1380.600,
2014-07,1377.280,
2014-08,1336.230,
2014-09,1339.050,
2014-10,1339.680,
2014-11,1379.220,
2014-12,1326.110,
2015-01,1239.920,
"","Source: Calculated on the basis of the buying and selling rates of the Korea Exchange Bank, Seoul.",
